primary,oxydb_mac_2020,genbank,genbank.1,number,mds_ies_db_2015
Contig4070.0,Contig4070.0,AMCR02007630,AMCR02007630.1,4070.0,OXYTRI_MAC_4070
Contig4073.0,Contig4073.0,AMCR02007631,AMCR02007631.1,4073.0,OXYTRI_MAC_4073
Contig4073.0i1,Contig4073.0i1,AMCR02007632,AMCR02007632.1,4073.0i1,
Contig4074.0,Contig4074.0,AMCR02007633,AMCR02007633.1,4074.0,OXYTRI_MAC_4074
Contig4075.0,Contig4075.0,AMCR02007634,AMCR02007634.1,4075.0,OXYTRI_MAC_4075
Contig4077.0,Contig4077.0,AMCR02007635,AMCR02007635.1,4077.0,OXYTRI_MAC_4077
Contig4077.0v1,Contig4077.0v1,AMCR02007636,AMCR02007636.1,4077.0v1,
Contig4077.0v2,Contig4077.0v2,AMCR02007637,AMCR02007637.1,4077.0v2,
Contig4079.0,Contig4079.0,AMCR02007638,AMCR02007638.1,4079.0,OXYTRI_MAC_4079
Contig4080.0,Contig4080.0,AMCR02007639,AMCR02007639.1,4080.0,OXYTRI_MAC_4080
Contig4080.0v1,Contig4080.0v1,AMCR02007640,AMCR02007640.1,4080.0v1,
Contig4080.0i1,Contig4080.0i1,AMCR02007641,AMCR02007641.1,4080.0i1,
Contig4080.0i1v1,Contig4080.0i1v1,AMCR02007642,AMCR02007642.1,4080.0i1v1,
Contig4080.0i1v2,Contig4080.0i1v2,AMCR02007643,AMCR02007643.1,4080.0i1v2,
Contig4083.0,Contig4083.0,AMCR02007644,AMCR02007644.1,4083.0,OXYTRI_MAC_4083
Contig4083.0i1,Contig4083.0i1,AMCR02007645,AMCR02007645.1,4083.0i1,
Contig4083.0i2,Contig4083.0i2,AMCR02007646,AMCR02007646.1,4083.0i2,
Contig4085.0,Contig4085.0,AMCR02007647,AMCR02007647.1,4085.0,OXYTRI_MAC_4085
Contig4086.0,Contig4086.0,AMCR02007648,AMCR02007648.1,4086.0,OXYTRI_MAC_4086
Contig4086.0v1,Contig4086.0v1,AMCR02007649,AMCR02007649.1,4086.0v1,
Contig4089.0,Contig4089.0,AMCR02007650,AMCR02007650.1,4089.0,OXYTRI_MAC_4089
Contig4089.0v1,Contig4089.0v1,AMCR02007651,AMCR02007651.1,4089.0v1,
Contig4090.0,Contig4090.0,AMCR02007652,AMCR02007652.1,4090.0,OXYTRI_MAC_4090
Contig4091.0,Contig4091.0,AMCR02007653,AMCR02007653.1,4091.0,OXYTRI_MAC_4091
Contig4091.0v1,Contig4091.0v1,AMCR02007654,AMCR02007654.1,4091.0v1,
Contig4092.0,Contig4092.0,AMCR02007655,AMCR02007655.1,4092.0,OXYTRI_MAC_4092
Contig4093.0,Contig4093.0,AMCR02007656,AMCR02007656.1,4093.0,
Contig4094.0,Contig4094.0,AMCR02007657,AMCR02007657.1,4094.0,OXYTRI_MAC_4094
Contig4094.0v1,Contig4094.0v1,AMCR02007658,AMCR02007658.1,4094.0v1,
Contig4095.0.0,Contig4095.0.0,AMCR02007659,AMCR02007659.1,4095.0.0,OXYTRI_MAC_4095
Contig4099.0,Contig4099.0,AMCR02007660,AMCR02007660.1,4099.0,OXYTRI_MAC_4099
Contig4110.0,Contig4110.0,AMCR02007661,AMCR02007661.1,4110.0,OXYTRI_MAC_4110
Contig4111.0,Contig4111.0,AMCR02007662,AMCR02007662.1,4111.0,OXYTRI_MAC_16616
Contig4112.0,Contig4112.0,AMCR02007663,AMCR02007663.1,4112.0,OXYTRI_MAC_4112
Contig4112.0v1,Contig4112.0v1,AMCR02007664,AMCR02007664.1,4112.0v1,
Contig4113.0,Contig4113.0,AMCR02007665,AMCR02007665.1,4113.0,OXYTRI_MAC_4113
Contig4115.0,Contig4115.0,AMCR02007666,AMCR02007666.1,4115.0,OXYTRI_MAC_4115
