primary,oxydb_mac_2020,genbank,genbank.1,number,mds_ies_db_2015
Contig1.0,Contig1.0,AMCR02000001,AMCR02000001.1,1.0,OXYTRI_MAC_1
Contig1.0i1,Contig1.0i1,AMCR02000002,AMCR02000002.1,1.0i1,
Contig1.0i1v1,Contig1.0i1v1,AMCR02000003,AMCR02000003.1,1.0i1v1,
Contig1.1,Contig1.1,AMCR02000004,AMCR02000004.1,1.1,OXYTRI_MAC_24234
Contig1.1i1,Contig1.1i1,AMCR02000005,AMCR02000005.1,1.1i1,
Contig2.0,Contig2.0,AMCR02000006,AMCR02000006.1,2.0,OXYTRI_MAC_2
Contig3.0,Contig3.0,AMCR02000007,AMCR02000007.1,3.0,OXYTRI_MAC_3
Contig3.0v1,Contig3.0v1,AMCR02000008,AMCR02000008.1,3.0v1,
Contig3.1,Contig3.1,AMCR02000009,AMCR02000009.1,3.1,OXYTRI_MAC_25871
Contig3.1i1,Contig3.1i1,AMCR02000010,AMCR02000010.1,3.1i1,
Contig3.1i1v2,Contig3.1i1v2,AMCR02000011,AMCR02000011.1,3.1i1v2,
Contig3.1i1v3,Contig3.1i1v3,AMCR02000012,AMCR02000012.1,3.1i1v3,
Contig4.0,Contig4.0,AMCR02000013,AMCR02000013.1,4.0,OXYTRI_MAC_4
Contig4.0v1,Contig4.0v1,AMCR02000014,AMCR02000014.1,4.0v1,
Contig4.1,Contig4.1,AMCR02000015,AMCR02000015.1,4.1,OXYTRI_MAC_25959
Contig4.1i1,Contig4.1i1,AMCR02000016,AMCR02000016.1,4.1i1,
Contig5.0,Contig5.0,AMCR02000017,AMCR02000017.1,5.0,OXYTRI_MAC_5
Contig5.1,Contig5.1,AMCR02000018,AMCR02000018.1,5.1,OXYTRI_MAC_26033
Contig6.0,Contig6.0,AMCR02000019,AMCR02000019.1,6.0,OXYTRI_MAC_6
Contig6.0i1,Contig6.0i1,AMCR02000020,AMCR02000020.1,6.0i1,
Contig6.0i2,Contig6.0i2,AMCR02000021,AMCR02000021.1,6.0i2,
Contig6.1,Contig6.1,AMCR02000022,AMCR02000022.1,6.1,OXYTRI_MAC_26119
Contig6.1i1,Contig6.1i1,AMCR02000023,AMCR02000023.1,6.1i1,
Contig7.1,Contig7.1,AMCR02000024,AMCR02000024.1,7.1,OXYTRI_MAC_26209
Contig7.1i1,Contig7.1i1,AMCR02000025,AMCR02000025.1,7.1i1,
Contig7.1i2,Contig7.1i2,AMCR02000026,AMCR02000026.1,7.1i2,
Contig8.0,Contig8.0,AMCR02000027,AMCR02000027.1,8.0,OXYTRI_MAC_8
Contig8.0i1,Contig8.0i1,AMCR02000028,AMCR02000028.1,8.0i1,
Contig8.0i1v1,Contig8.0i1v1,AMCR02000029,AMCR02000029.1,8.0i1v1,
Contig8.1,Contig8.1,AMCR02000030,AMCR02000030.1,8.1,OXYTRI_MAC_26288
Contig8.1i1,Contig8.1i1,AMCR02000031,AMCR02000031.1,8.1i1,
Contig9.0,Contig9.0,AMCR02000032,AMCR02000032.1,9.0,OXYTRI_MAC_9
Contig9.0i1,Contig9.0i1,AMCR02000033,AMCR02000033.1,9.0i1,
Contig9.1,Contig9.1,AMCR02000034,AMCR02000034.1,9.1,OXYTRI_MAC_26352
Contig9.1v1,Contig9.1v1,AMCR02000035,AMCR02000035.1,9.1v1,
Contig10.0,Contig10.0,AMCR02000036,AMCR02000036.1,10.0,OXYTRI_MAC_10
Contig10.0i1,Contig10.0i1,AMCR02000037,AMCR02000037.1,10.0i1,
Contig10.1,Contig10.1,AMCR02000038,AMCR02000038.1,10.1,OXYTRI_MAC_24235
Contig10.1i1,Contig10.1i1,AMCR02000039,AMCR02000039.1,10.1i1,
Contig11.0.0,Contig11.0.0,AMCR02000040,AMCR02000040.1,11.0.0,OXYTRI_MAC_11
Contig11.0.0v1,Contig11.0.0v1,AMCR02000041,AMCR02000041.1,11.0.0v1,
Contig11.0.0v2,Contig11.0.0v2,AMCR02000042,AMCR02000042.1,11.0.0v2,
Contig11.0.0i1,Contig11.0.0i1,AMCR02000043,AMCR02000043.1,11.0.0i1,
Contig11.1,Contig11.1,AMCR02000044,AMCR02000044.1,11.1,OXYTRI_MAC_24315
Contig11.1i2,Contig11.1i2,AMCR02000045,AMCR02000045.1,11.1i2,
Contig11.1i1,Contig11.1i1,AMCR02000046,AMCR02000046.1,11.1i1,
Contig12.0,Contig12.0,AMCR02000047,AMCR02000047.1,12.0,OXYTRI_MAC_12
Contig12.0i1,Contig12.0i1,AMCR02000048,AMCR02000048.1,12.0i1,
Contig12.0i1v1,Contig12.0i1v1,AMCR02000049,AMCR02000049.1,12.0i1v1,
Contig12.0i2,Contig12.0i2,AMCR02000050,AMCR02000050.1,12.0i2,
Contig12.0i3,Contig12.0i3,AMCR02000051,AMCR02000051.1,12.0i3,
Contig13.0,Contig13.0,AMCR02000052,AMCR02000052.1,13.0,OXYTRI_MAC_13
Contig13.1,Contig13.1,AMCR02000053,AMCR02000053.1,13.1,OXYTRI_MAC_24483
Contig13.1i1,Contig13.1i1,AMCR02000054,AMCR02000054.1,13.1i1,
Contig14.0,Contig14.0,AMCR02000055,AMCR02000055.1,14.0,OXYTRI_MAC_14
Contig14.1,Contig14.1,AMCR02000056,AMCR02000056.1,14.1,OXYTRI_MAC_24566
Contig14.1v1,Contig14.1v1,AMCR02000057,AMCR02000057.1,14.1v1,
Contig14.1i1,Contig14.1i1,AMCR02000058,AMCR02000058.1,14.1i1,
Contig14.1i1v1,Contig14.1i1v1,AMCR02000059,AMCR02000059.1,14.1i1v1,
Contig14.1i1v2,Contig14.1i1v2,AMCR02000060,AMCR02000060.1,14.1i1v2,
Contig14.1i1v3,Contig14.1i1v3,AMCR02000061,AMCR02000061.1,14.1i1v3,
Contig15.1,Contig15.1,AMCR02000062,AMCR02000062.1,15.1,OXYTRI_MAC_15
Contig15.1i1,Contig15.1i1,AMCR02000063,AMCR02000063.1,15.1i1,
Contig15.1i1v1,Contig15.1i1v1,AMCR02000064,AMCR02000064.1,15.1i1v1,
Contig15.1i1v2,Contig15.1i1v2,AMCR02000065,AMCR02000065.1,15.1i1v2,
Contig16.0,Contig16.0,AMCR02000066,AMCR02000066.1,16.0,OXYTRI_MAC_16
Contig16.1,Contig16.1,AMCR02000067,AMCR02000067.1,16.1,OXYTRI_MAC_24659
Contig16.1v1,Contig16.1v1,AMCR02000068,AMCR02000068.1,16.1v1,
Contig16.1v2,Contig16.1v2,AMCR02000069,AMCR02000069.1,16.1v2,
Contig17.0,Contig17.0,AMCR02000070,AMCR02000070.1,17.0,OXYTRI_MAC_17
Contig18.0,Contig18.0,AMCR02000071,AMCR02000071.1,18.0,OXYTRI_MAC_18
Contig18.0v1,Contig18.0v1,AMCR02000072,AMCR02000072.1,18.0v1,
Contig18.1,Contig18.1,AMCR02000073,AMCR02000073.1,18.1,OXYTRI_MAC_24683
Contig18.1v1,Contig18.1v1,AMCR02000074,AMCR02000074.1,18.1v1,
Contig19.0,Contig19.0,AMCR02000075,AMCR02000075.1,19.0,OXYTRI_MAC_19
Contig19.1,Contig19.1,AMCR02000076,AMCR02000076.1,19.1,OXYTRI_MAC_24694
Contig20.0,Contig20.0,AMCR02000077,AMCR02000077.1,20.0,OXYTRI_MAC_20
Contig20.0v1,Contig20.0v1,AMCR02000078,AMCR02000078.1,20.0v1,
Contig20.1,Contig20.1,AMCR02000079,AMCR02000079.1,20.1,OXYTRI_MAC_24711
Contig20.1i1,Contig20.1i1,AMCR02000080,AMCR02000080.1,20.1i1,
Contig21.0,Contig21.0,AMCR02000081,AMCR02000081.1,21.0,OXYTRI_MAC_21
Contig21.1,Contig21.1,AMCR02000082,AMCR02000082.1,21.1,OXYTRI_MAC_24726
Contig22.0,Contig22.0,AMCR02000083,AMCR02000083.1,22.0,OXYTRI_MAC_22
Contig22.1,Contig22.1,AMCR02000084,AMCR02000084.1,22.1,OXYTRI_MAC_24748
Contig22.1v2,Contig22.1v2,AMCR02000085,AMCR02000085.1,22.1v2,
Contig22.1v3,Contig22.1v3,AMCR02000086,AMCR02000086.1,22.1v3,
Contig22.1i1,Contig22.1i1,AMCR02000087,AMCR02000087.1,22.1i1,
Contig22.1v1,Contig22.1v1,AMCR02000088,AMCR02000088.1,22.1v1,
Contig23.1,Contig23.1,AMCR02000089,AMCR02000089.1,23.1,OXYTRI_MAC_23
Contig23.1v1,Contig23.1v1,AMCR02000090,AMCR02000090.1,23.1v1,
Contig24.0,Contig24.0,AMCR02000091,AMCR02000091.1,24.0,OXYTRI_MAC_24
Contig24.1,Contig24.1,AMCR02000092,AMCR02000092.1,24.1,OXYTRI_MAC_25587
Contig25.0,Contig25.0,AMCR02000093,AMCR02000093.1,25.0,OXYTRI_MAC_25
Contig25.0i1,Contig25.0i1,AMCR02000094,AMCR02000094.1,25.0i1,
Contig25.1,Contig25.1,AMCR02000095,AMCR02000095.1,25.1,OXYTRI_MAC_25823
Contig25.1v1,Contig25.1v1,AMCR02000096,AMCR02000096.1,25.1v1,
Contig25.1i1,Contig25.1i1,AMCR02000097,AMCR02000097.1,25.1i1,
Contig26.0,Contig26.0,AMCR02000098,AMCR02000098.1,26.0,OXYTRI_MAC_26
Contig26.1,Contig26.1,AMCR02000099,AMCR02000099.1,26.1,OXYTRI_MAC_25832
Contig26.1i1,Contig26.1i1,AMCR02000100,AMCR02000100.1,26.1i1,
Contig26.1i1v1,Contig26.1i1v1,AMCR02000101,AMCR02000101.1,26.1i1v1,
Contig26.1i1v2,Contig26.1i1v2,AMCR02000102,AMCR02000102.1,26.1i1v2,
Contig26.1i1v3,Contig26.1i1v3,AMCR02000103,AMCR02000103.1,26.1i1v3,
Contig27.1,Contig27.1,AMCR02000104,AMCR02000104.1,27.1,OXYTRI_MAC_25842
Contig27.1v1,Contig27.1v1,AMCR02000105,AMCR02000105.1,27.1v1,
Contig28.0,Contig28.0,AMCR02000106,AMCR02000106.1,28.0,OXYTRI_MAC_28
Contig28.0v1,Contig28.0v1,AMCR02000107,AMCR02000107.1,28.0v1,
Contig28.1,Contig28.1,AMCR02000108,AMCR02000108.1,28.1,OXYTRI_MAC_25852
Contig29.0,Contig29.0,AMCR02000109,AMCR02000109.1,29.0,OXYTRI_MAC_29
Contig29.0v1,Contig29.0v1,AMCR02000110,AMCR02000110.1,29.0v1,
Contig29.1,Contig29.1,AMCR02000111,AMCR02000111.1,29.1,OXYTRI_MAC_25142
Contig29.1v1,Contig29.1v1,AMCR02000112,AMCR02000112.1,29.1v1,
Contig30.0,Contig30.0,AMCR02000113,AMCR02000113.1,30.0,OXYTRI_MAC_30
Contig30.0i1,Contig30.0i1,AMCR02000114,AMCR02000114.1,30.0i1,
Contig30.1,Contig30.1,AMCR02000115,AMCR02000115.1,30.1,OXYTRI_MAC_25872
Contig30.1i1,Contig30.1i1,AMCR02000116,AMCR02000116.1,30.1i1,
Contig31.0,Contig31.0,AMCR02000117,AMCR02000117.1,31.0,OXYTRI_MAC_31
Contig31.1,Contig31.1,AMCR02000118,AMCR02000118.1,31.1,OXYTRI_MAC_25883
Contig32.0,Contig32.0,AMCR02000119,AMCR02000119.1,32.0,OXYTRI_MAC_32
Contig32.1,Contig32.1,AMCR02000120,AMCR02000120.1,32.1,OXYTRI_MAC_25892
Contig33.0,Contig33.0,AMCR02000121,AMCR02000121.1,33.0,OXYTRI_MAC_33
Contig33.0i1,Contig33.0i1,AMCR02000122,AMCR02000122.1,33.0i1,
Contig33.0v1,Contig33.0v1,AMCR02000123,AMCR02000123.1,33.0v1,
Contig33.1,Contig33.1,AMCR02000124,AMCR02000124.1,33.1,OXYTRI_MAC_25902
Contig33.1i1,Contig33.1i1,AMCR02000125,AMCR02000125.1,33.1i1,
Contig33.1i1v1,Contig33.1i1v1,AMCR02000126,AMCR02000126.1,33.1i1v1,
Contig33.1i2,Contig33.1i2,AMCR02000127,AMCR02000127.1,33.1i2,
Contig34.0,Contig34.0,AMCR02000128,AMCR02000128.1,34.0,OXYTRI_MAC_34
Contig34.0v1,Contig34.0v1,AMCR02000129,AMCR02000129.1,34.0v1,
Contig34.1,Contig34.1,AMCR02000130,AMCR02000130.1,34.1,OXYTRI_MAC_25914
Contig35.0,Contig35.0,AMCR02000131,AMCR02000131.1,35.0,OXYTRI_MAC_35
Contig35.0v1,Contig35.0v1,AMCR02000132,AMCR02000132.1,35.0v1,
Contig35.1,Contig35.1,AMCR02000133,AMCR02000133.1,35.1,OXYTRI_MAC_25920
Contig36.1,Contig36.1,AMCR02000134,AMCR02000134.1,36.1,OXYTRI_MAC_25930
Contig36.1i1,Contig36.1i1,AMCR02000135,AMCR02000135.1,36.1i1,
Contig37.0,Contig37.0,AMCR02000136,AMCR02000136.1,37.0,OXYTRI_MAC_37
Contig37.0i1,Contig37.0i1,AMCR02000137,AMCR02000137.1,37.0i1,
Contig37.1,Contig37.1,AMCR02000138,AMCR02000138.1,37.1,OXYTRI_MAC_25938
Contig37.1i1,Contig37.1i1,AMCR02000139,AMCR02000139.1,37.1i1,
Contig37.1i1v1,Contig37.1i1v1,AMCR02000140,AMCR02000140.1,37.1i1v1,
Contig38.1,Contig38.1,AMCR02000141,AMCR02000141.1,38.1,OXYTRI_MAC_38
Contig38.1v1,Contig38.1v1,AMCR02000142,AMCR02000142.1,38.1v1,
Contig40.1,Contig40.1,AMCR02000143,AMCR02000143.1,40.1,OXYTRI_MAC_25960
Contig40.1i1,Contig40.1i1,AMCR02000144,AMCR02000144.1,40.1i1,
Contig40.1i1v1,Contig40.1i1v1,AMCR02000145,AMCR02000145.1,40.1i1v1,
Contig40.1i1v2,Contig40.1i1v2,AMCR02000146,AMCR02000146.1,40.1i1v2,
Contig40.1i2,Contig40.1i2,AMCR02000147,AMCR02000147.1,40.1i2,
Contig40.1v1,Contig40.1v1,AMCR02000148,AMCR02000148.1,40.1v1,
Contig41.0,Contig41.0,AMCR02000149,AMCR02000149.1,41.0,OXYTRI_MAC_41
Contig41.1,Contig41.1,AMCR02000150,AMCR02000150.1,41.1,OXYTRI_MAC_25968
Contig41.1v1,Contig41.1v1,AMCR02000151,AMCR02000151.1,41.1v1,
Contig41.1v2,Contig41.1v2,AMCR02000152,AMCR02000152.1,41.1v2,
Contig42.1,Contig42.1,AMCR02000153,AMCR02000153.1,42.1,OXYTRI_MAC_42
Contig42.1v1,Contig42.1v1,AMCR02000154,AMCR02000154.1,42.1v1,
Contig43.0,Contig43.0,AMCR02000155,AMCR02000155.1,43.0,
Contig43.1,Contig43.1,AMCR02000156,AMCR02000156.1,43.1,OXYTRI_MAC_25982
Contig43.1v1,Contig43.1v1,AMCR02000157,AMCR02000157.1,43.1v1,
Contig44.0,Contig44.0,AMCR02000158,AMCR02000158.1,44.0,OXYTRI_MAC_44
Contig45.0,Contig45.0,AMCR02000159,AMCR02000159.1,45.0,OXYTRI_MAC_45
Contig45.0i1,Contig45.0i1,AMCR02000160,AMCR02000160.1,45.0i1,
Contig45.0i1v1,Contig45.0i1v1,AMCR02000161,AMCR02000161.1,45.0i1v1,
Contig45.1,Contig45.1,AMCR02000162,AMCR02000162.1,45.1,OXYTRI_MAC_25997
Contig46.0,Contig46.0,AMCR02000163,AMCR02000163.1,46.0,OXYTRI_MAC_46
Contig46.0v1,Contig46.0v1,AMCR02000164,AMCR02000164.1,46.0v1,
Contig46.0v2,Contig46.0v2,AMCR02000165,AMCR02000165.1,46.0v2,
Contig47.0,Contig47.0,AMCR02000166,AMCR02000166.1,47.0,OXYTRI_MAC_47
Contig47.0i1,Contig47.0i1,AMCR02000167,AMCR02000167.1,47.0i1,
Contig47.0i1v1,Contig47.0i1v1,AMCR02000168,AMCR02000168.1,47.0i1v1,
Contig47.1,Contig47.1,AMCR02000169,AMCR02000169.1,47.1,OXYTRI_MAC_26013
Contig48.1,Contig48.1,AMCR02000170,AMCR02000170.1,48.1,OXYTRI_MAC_48
Contig48.1v1,Contig48.1v1,AMCR02000171,AMCR02000171.1,48.1v1,
Contig48.1i1,Contig48.1i1,AMCR02000172,AMCR02000172.1,48.1i1,
Contig48.1i1v1,Contig48.1i1v1,AMCR02000173,AMCR02000173.1,48.1i1v1,
Contig48.1i1v2,Contig48.1i1v2,AMCR02000174,AMCR02000174.1,48.1i1v2,
Contig49.1,Contig49.1,AMCR02000175,AMCR02000175.1,49.1,OXYTRI_MAC_26023
Contig49.1v1,Contig49.1v1,AMCR02000176,AMCR02000176.1,49.1v1,
Contig50.0,Contig50.0,AMCR02000177,AMCR02000177.1,50.0,OXYTRI_MAC_50
Contig50.1,Contig50.1,AMCR02000178,AMCR02000178.1,50.1,OXYTRI_MAC_26034
Contig50.1v1,Contig50.1v1,AMCR02000179,AMCR02000179.1,50.1v1,
Contig51.0,Contig51.0,AMCR02000180,AMCR02000180.1,51.0,OXYTRI_MAC_51
Contig51.0i1,Contig51.0i1,AMCR02000181,AMCR02000181.1,51.0i1,
Contig51.0i2,Contig51.0i2,AMCR02000182,AMCR02000182.1,51.0i2,
Contig51.1,Contig51.1,AMCR02000183,AMCR02000183.1,51.1,OXYTRI_MAC_26043
Contig51.1v1,Contig51.1v1,AMCR02000184,AMCR02000184.1,51.1v1,
Contig52.0,Contig52.0,AMCR02000185,AMCR02000185.1,52.0,OXYTRI_MAC_52
Contig52.0v1,Contig52.0v1,AMCR02000186,AMCR02000186.1,52.0v1,
Contig52.1,Contig52.1,AMCR02000187,AMCR02000187.1,52.1,OXYTRI_MAC_26054
Contig52.1v1,Contig52.1v1,AMCR02000188,AMCR02000188.1,52.1v1,
Contig53.0.0,Contig53.0.0,AMCR02000189,AMCR02000189.1,53.0.0,OXYTRI_MAC_53
Contig53.1,Contig53.1,AMCR02000190,AMCR02000190.1,53.1,OXYTRI_MAC_26059
Contig53.1i1,Contig53.1i1,AMCR02000191,AMCR02000191.1,53.1i1,
Contig54.0.0,Contig54.0.0,AMCR02000192,AMCR02000192.1,54.0.0,OXYTRI_MAC_54
Contig54.1,Contig54.1,AMCR02000193,AMCR02000193.1,54.1,OXYTRI_MAC_26068
Contig54.1v1,Contig54.1v1,AMCR02000194,AMCR02000194.1,54.1v1,
Contig54.1v2,Contig54.1v2,AMCR02000195,AMCR02000195.1,54.1v2,
Contig55.0,Contig55.0,AMCR02000196,AMCR02000196.1,55.0,OXYTRI_MAC_55
Contig55.1,Contig55.1,AMCR02000197,AMCR02000197.1,55.1,OXYTRI_MAC_26077
Contig56.0,Contig56.0,AMCR02000198,AMCR02000198.1,56.0,OXYTRI_MAC_56
Contig57.0,Contig57.0,AMCR02000199,AMCR02000199.1,57.0,OXYTRI_MAC_57
Contig57.0i1,Contig57.0i1,AMCR02000200,AMCR02000200.1,57.0i1,
Contig57.0i1v1,Contig57.0i1v1,AMCR02000201,AMCR02000201.1,57.0i1v1,
Contig58.0,Contig58.0,AMCR02000202,AMCR02000202.1,58.0,OXYTRI_MAC_58
Contig58.0v1,Contig58.0v1,AMCR02000203,AMCR02000203.1,58.0v1,
Contig58.1,Contig58.1,AMCR02000204,AMCR02000204.1,58.1,OXYTRI_MAC_26103
Contig58.1i1,Contig58.1i1,AMCR02000205,AMCR02000205.1,58.1i1,
Contig59.0,Contig59.0,AMCR02000206,AMCR02000206.1,59.0,OXYTRI_MAC_59
Contig59.1,Contig59.1,AMCR02000207,AMCR02000207.1,59.1,OXYTRI_MAC_26111
Contig59.1i1,Contig59.1i1,AMCR02000208,AMCR02000208.1,59.1i1,
Contig60.0,Contig60.0,AMCR02000209,AMCR02000209.1,60.0,OXYTRI_MAC_60
Contig60.1,Contig60.1,AMCR02000210,AMCR02000210.1,60.1,OXYTRI_MAC_26120
Contig60.1v1,Contig60.1v1,AMCR02000211,AMCR02000211.1,60.1v1,
Contig61.0,Contig61.0,AMCR02000212,AMCR02000212.1,61.0,OXYTRI_MAC_61
Contig61.0i1,Contig61.0i1,AMCR02000213,AMCR02000213.1,61.0i1,
Contig61.1,Contig61.1,AMCR02000214,AMCR02000214.1,61.1,OXYTRI_MAC_26128
Contig61.1v1,Contig61.1v1,AMCR02000215,AMCR02000215.1,61.1v1,
Contig61.1v2,Contig61.1v2,AMCR02000216,AMCR02000216.1,61.1v2,
Contig62.1,Contig62.1,AMCR02000217,AMCR02000217.1,62.1,OXYTRI_MAC_26134
Contig62.1i1,Contig62.1i1,AMCR02000218,AMCR02000218.1,62.1i1,
Contig63.1,Contig63.1,AMCR02000219,AMCR02000219.1,63.1,OXYTRI_MAC_26143
Contig63.1i1,Contig63.1i1,AMCR02000220,AMCR02000220.1,63.1i1,
Contig63.1i1v1,Contig63.1i1v1,AMCR02000221,AMCR02000221.1,63.1i1v1,
Contig64.0,Contig64.0,AMCR02000222,AMCR02000222.1,64.0,OXYTRI_MAC_64
Contig64.0v1,Contig64.0v1,AMCR02000223,AMCR02000223.1,64.0v1,
Contig64.0v2,Contig64.0v2,AMCR02000224,AMCR02000224.1,64.0v2,
Contig64.0i1,Contig64.0i1,AMCR02000225,AMCR02000225.1,64.0i1,
Contig64.1,Contig64.1,AMCR02000226,AMCR02000226.1,64.1,OXYTRI_MAC_26153
Contig64.1i1,Contig64.1i1,AMCR02000227,AMCR02000227.1,64.1i1,
Contig64.1i1v1,Contig64.1i1v1,AMCR02000228,AMCR02000228.1,64.1i1v1,
Contig65.0,Contig65.0,AMCR02000229,AMCR02000229.1,65.0,OXYTRI_MAC_65
Contig65.0v1,Contig65.0v1,AMCR02000230,AMCR02000230.1,65.0v1,
Contig65.1,Contig65.1,AMCR02000231,AMCR02000231.1,65.1,OXYTRI_MAC_26160
Contig65.1v1,Contig65.1v1,AMCR02000232,AMCR02000232.1,65.1v1,
Contig66.1,Contig66.1,AMCR02000233,AMCR02000233.1,66.1,OXYTRI_MAC_26171
Contig66.1v1,Contig66.1v1,AMCR02000234,AMCR02000234.1,66.1v1,
Contig67.0,Contig67.0,AMCR02000235,AMCR02000235.1,67.0,OXYTRI_MAC_67
Contig67.1,Contig67.1,AMCR02000236,AMCR02000236.1,67.1,OXYTRI_MAC_26182
Contig68.0,Contig68.0,AMCR02000237,AMCR02000237.1,68.0,OXYTRI_MAC_68
Contig68.0i1,Contig68.0i1,AMCR02000238,AMCR02000238.1,68.0i1,
Contig68.0i1v2,Contig68.0i1v2,AMCR02000239,AMCR02000239.1,68.0i1v2,
Contig68.1,Contig68.1,AMCR02000240,AMCR02000240.1,68.1,OXYTRI_MAC_26193
Contig68.1v1,Contig68.1v1,AMCR02000241,AMCR02000241.1,68.1v1,
Contig69.0,Contig69.0,AMCR02000242,AMCR02000242.1,69.0,OXYTRI_MAC_69
Contig69.0v1,Contig69.0v1,AMCR02000243,AMCR02000243.1,69.0v1,
Contig69.1i1,Contig69.1i1,AMCR02000244,AMCR02000244.1,69.1i1,
Contig69.1i1v1,Contig69.1i1v1,AMCR02000245,AMCR02000245.1,69.1i1v1,
Contig70.0,Contig70.0,AMCR02000246,AMCR02000246.1,70.0,OXYTRI_MAC_70
Contig70.1,Contig70.1,AMCR02000247,AMCR02000247.1,70.1,OXYTRI_MAC_26210
Contig70.1i1,Contig70.1i1,AMCR02000248,AMCR02000248.1,70.1i1,
Contig71.0,Contig71.0,AMCR02000249,AMCR02000249.1,71.0,OXYTRI_MAC_71
Contig71.1,Contig71.1,AMCR02000250,AMCR02000250.1,71.1,OXYTRI_MAC_26219
Contig71.1i1,Contig71.1i1,AMCR02000251,AMCR02000251.1,71.1i1,
Contig71.1i2,Contig71.1i2,AMCR02000252,AMCR02000252.1,71.1i2,
Contig72.0,Contig72.0,AMCR02000253,AMCR02000253.1,72.0,OXYTRI_MAC_72
Contig72.0v1,Contig72.0v1,AMCR02000254,AMCR02000254.1,72.0v1,
Contig72.1,Contig72.1,AMCR02000255,AMCR02000255.1,72.1,OXYTRI_MAC_26228
Contig72.1v1,Contig72.1v1,AMCR02000256,AMCR02000256.1,72.1v1,
Contig73.0,Contig73.0,AMCR02000257,AMCR02000257.1,73.0,OXYTRI_MAC_73
Contig73.0v1,Contig73.0v1,AMCR02000258,AMCR02000258.1,73.0v1,
Contig73.1,Contig73.1,AMCR02000259,AMCR02000259.1,73.1,OXYTRI_MAC_26236
Contig73.1i1,Contig73.1i1,AMCR02000260,AMCR02000260.1,73.1i1,
Contig73.1i1v1,Contig73.1i1v1,AMCR02000261,AMCR02000261.1,73.1i1v1,
Contig74.0,Contig74.0,AMCR02000262,AMCR02000262.1,74.0,OXYTRI_MAC_74
Contig74.0v2,Contig74.0v2,AMCR02000263,AMCR02000263.1,74.0v2,
Contig74.1,Contig74.1,AMCR02000264,AMCR02000264.1,74.1,OXYTRI_MAC_26244
Contig74.1i1,Contig74.1i1,AMCR02000265,AMCR02000265.1,74.1i1,
Contig75.0,Contig75.0,AMCR02000266,AMCR02000266.1,75.0,OXYTRI_MAC_75
Contig75.1,Contig75.1,AMCR02000267,AMCR02000267.1,75.1,OXYTRI_MAC_24916
Contig75.1i1,Contig75.1i1,AMCR02000268,AMCR02000268.1,75.1i1,
Contig75.1i2,Contig75.1i2,AMCR02000269,AMCR02000269.1,75.1i2,
Contig76.0,Contig76.0,AMCR02000270,AMCR02000270.1,76.0,OXYTRI_MAC_76
Contig76.1,Contig76.1,AMCR02000271,AMCR02000271.1,76.1,OXYTRI_MAC_26257
Contig76.1v1,Contig76.1v1,AMCR02000272,AMCR02000272.1,76.1v1,
Contig77.0,Contig77.0,AMCR02000273,AMCR02000273.1,77.0,OXYTRI_MAC_77
Contig77.0i1,Contig77.0i1,AMCR02000274,AMCR02000274.1,77.0i1,
Contig77.0i2,Contig77.0i2,AMCR02000275,AMCR02000275.1,77.0i2,
Contig77.1,Contig77.1,AMCR02000276,AMCR02000276.1,77.1,OXYTRI_MAC_26264
Contig77.1v1,Contig77.1v1,AMCR02000277,AMCR02000277.1,77.1v1,
Contig78.0,Contig78.0,AMCR02000278,AMCR02000278.1,78.0,
Contig79.0,Contig79.0,AMCR02000279,AMCR02000279.1,79.0,OXYTRI_MAC_79
Contig79.0v1,Contig79.0v1,AMCR02000280,AMCR02000280.1,79.0v1,
Contig79.1,Contig79.1,AMCR02000281,AMCR02000281.1,79.1,OXYTRI_MAC_26280
Contig79.1v1,Contig79.1v1,AMCR02000282,AMCR02000282.1,79.1v1,
Contig79.1v2,Contig79.1v2,AMCR02000283,AMCR02000283.1,79.1v2,
Contig80.0.1,Contig80.0.1,AMCR02000284,AMCR02000284.1,80.0.1,OXYTRI_MAC_80
Contig80.0.1i1,Contig80.0.1i1,AMCR02000285,AMCR02000285.1,80.0.1i1,
Contig80.1,Contig80.1,AMCR02000286,AMCR02000286.1,80.1,OXYTRI_MAC_25083
Contig80.1v1,Contig80.1v1,AMCR02000287,AMCR02000287.1,80.1v1,
Contig81.1,Contig81.1,AMCR02000288,AMCR02000288.1,81.1,OXYTRI_MAC_81
Contig81.1v1,Contig81.1v1,AMCR02000289,AMCR02000289.1,81.1v1,
Contig82.0,Contig82.0,AMCR02000290,AMCR02000290.1,82.0,OXYTRI_MAC_82
Contig82.0v1,Contig82.0v1,AMCR02000291,AMCR02000291.1,82.0v1,
Contig82.1,Contig82.1,AMCR02000292,AMCR02000292.1,82.1,OXYTRI_MAC_26301
Contig83.1,Contig83.1,AMCR02000293,AMCR02000293.1,83.1,OXYTRI_MAC_26309
Contig84.0,Contig84.0,AMCR02000294,AMCR02000294.1,84.0,OXYTRI_MAC_84
Contig84.1,Contig84.1,AMCR02000295,AMCR02000295.1,84.1,OXYTRI_MAC_26316
Contig84.1i1,Contig84.1i1,AMCR02000296,AMCR02000296.1,84.1i1,
Contig84.1i1v1,Contig84.1i1v1,AMCR02000297,AMCR02000297.1,84.1i1v1,
Contig84.1i2,Contig84.1i2,AMCR02000298,AMCR02000298.1,84.1i2,
