primary,oxydb_mac_2012,number,mds_ies_db_2015
Contig9847.0,Contig9847.0,9847.0,OXYTRI_MAC_9847
Contig9846.0.0,Contig9846.0.0,9846.0.0,OXYTRI_MAC_26442
Contig9846.0.1,Contig9846.0.1,9846.0.1,
Contig9846.0.2,Contig9846.0.2,9846.0.2,OXYTRI_MAC_9846
Contig9849.0,Contig9849.0,9849.0,OXYTRI_MAC_9849
Contig9848.0,Contig9848.0,9848.0,OXYTRI_MAC_9848
Contig2097.0,Contig2097.0,2097.0,OXYTRI_MAC_2097
Contig2096.0,Contig2096.0,2096.0,OXYTRI_MAC_2096
Contig2094.0,Contig2094.0,2094.0,OXYTRI_MAC_2094
Contig2093.0,Contig2093.0,2093.0,OXYTRI_MAC_2093
Contig2091.0,Contig2091.0,2091.0,OXYTRI_MAC_2091
Contig2090.0,Contig2090.0,2090.0,OXYTRI_MAC_2090
Contig2099.0,Contig2099.0,2099.0,OXYTRI_MAC_2099
Contig2098.0,Contig2098.0,2098.0,OXYTRI_MAC_2098
Contig15294.0,Contig15294.0,15294.0,OXYTRI_MAC_15294
Contig15295.0,Contig15295.0,15295.0,OXYTRI_MAC_15295
Contig15296.0,Contig15296.0,15296.0,OXYTRI_MAC_15296
Contig15297.0,Contig15297.0,15297.0,OXYTRI_MAC_15297
Contig15290.0,Contig15290.0,15290.0,OXYTRI_MAC_15290
Contig15291.0,Contig15291.0,15291.0,OXYTRI_MAC_15291
Contig15292.0,Contig15292.0,15292.0,OXYTRI_MAC_15292
Contig15293.0,Contig15293.0,15293.0,OXYTRI_MAC_15293
Contig8828.0,Contig8828.0,8828.0,OXYTRI_MAC_8828
Contig8829.0,Contig8829.0,8829.0,OXYTRI_MAC_8829
Contig8820.0.0,Contig8820.0.0,8820.0.0,OXYTRI_MAC_8820
Contig8822.0,Contig8822.0,8822.0,OXYTRI_MAC_8822
Contig8823.0,Contig8823.0,8823.0,OXYTRI_MAC_8823
Contig8824.0,Contig8824.0,8824.0,OXYTRI_MAC_8824
