primary,oxydb_mac_2012,number,mds_ies_db_2015
Contig3068.0.0,Contig3068.0.0,3068.0.0,OXYTRI_MAC_14867
Contig8565.0,Contig8565.0,8565.0,OXYTRI_MAC_8565
Contig8564.0,Contig8564.0,8564.0,OXYTRI_MAC_24919
Contig8566.0,Contig8566.0,8566.0,OXYTRI_MAC_8566
Contig8561.0,Contig8561.0,8561.0,OXYTRI_MAC_8561
Contig8560.0,Contig8560.0,8560.0,OXYTRI_MAC_8560
Contig8563.0.0,Contig8563.0.0,8563.0.0,OXYTRI_MAC_8563
Contig8563.0.1,Contig8563.0.1,8563.0.1,OXYTRI_MAC_26325
Contig8562.0,Contig8562.0,8562.0,OXYTRI_MAC_8562
Contig8568.0,Contig8568.0,8568.0,OXYTRI_MAC_8568
Contig2008.0,Contig2008.0,2008.0,OXYTRI_MAC_2008
Contig2009.0,Contig2009.0,2009.0,OXYTRI_MAC_2009
Contig5058.0,Contig5058.0,5058.0,OXYTRI_MAC_5058
Contig5059.0,Contig5059.0,5059.0,OXYTRI_MAC_5059
Contig2000.0,Contig2000.0,2000.0,OXYTRI_MAC_2000
Contig2001.0.0,Contig2001.0.0,2001.0.0,OXYTRI_MAC_2001
Contig2002.0,Contig2002.0,2002.0,OXYTRI_MAC_2002
Contig5055.0,Contig5055.0,5055.0,OXYTRI_MAC_5055
Contig2004.0,Contig2004.0,2004.0,
Contig5050.0,Contig5050.0,5050.0,OXYTRI_MAC_5050
Contig5051.0,Contig5051.0,5051.0,OXYTRI_MAC_5051
Contig4091.0,Contig4091.0,4091.0,OXYTRI_MAC_4091
Contig4090.0,Contig4090.0,4090.0,OXYTRI_MAC_4090
Contig4093.0,Contig4093.0,4093.0,
Contig4092.0,Contig4092.0,4092.0,OXYTRI_MAC_4092
Contig4095.0.0,Contig4095.0.0,4095.0.0,OXYTRI_MAC_4095
Contig4094.0,Contig4094.0,4094.0,OXYTRI_MAC_4094
Contig4096.0.0,Contig4096.0.0,4096.0.0,OXYTRI_MAC_16811
Contig4096.0.1,Contig4096.0.1,4096.0.1,
Contig4099.0,Contig4099.0,4099.0,OXYTRI_MAC_4099
Contig3843.0.0,Contig3843.0.0,3843.0.0,OXYTRI_MAC_3843
Contig3843.0.1,Contig3843.0.1,3843.0.1,OXYTRI_MAC_25588
Contig3842.0,Contig3842.0,3842.0,
Contig3840.0,Contig3840.0,3840.0,OXYTRI_MAC_3840
Contig3847.0,Contig3847.0,3847.0,OXYTRI_MAC_3847
Contig3844.0,Contig3844.0,3844.0,OXYTRI_MAC_3844
Contig3849.0,Contig3849.0,3849.0,OXYTRI_MAC_3849
Contig3848.0,Contig3848.0,3848.0,OXYTRI_MAC_3848
Contig10601.0,Contig10601.0,10601.0,OXYTRI_MAC_10601
Contig11970.0,Contig11970.0,11970.0,OXYTRI_MAC_11970
Contig11973.0,Contig11973.0,11973.0,OXYTRI_MAC_11973
Contig11972.0.2,Contig11972.0.2,11972.0.2,OXYTRI_MAC_11972
Contig11975.0,Contig11975.0,11975.0,OXYTRI_MAC_11975
Contig11974.0.0,Contig11974.0.0,11974.0.0,OXYTRI_MAC_11974
Contig11977.0,Contig11977.0,11977.0,OXYTRI_MAC_11977
Contig11976.0,Contig11976.0,11976.0,OXYTRI_MAC_11976
Contig11979.0,Contig11979.0,11979.0,OXYTRI_MAC_11979
Contig11978.0,Contig11978.0,11978.0,OXYTRI_MAC_11978
Contig10605.0,Contig10605.0,10605.0,OXYTRI_MAC_10605
Contig10606.0,Contig10606.0,10606.0,OXYTRI_MAC_10606
Contig10607.0,Contig10607.0,10607.0,OXYTRI_MAC_10607
Contig6931.0,Contig6931.0,6931.0,
Contig6932.0,Contig6932.0,6932.0,OXYTRI_MAC_6932
Contig6933.0,Contig6933.0,6933.0,OXYTRI_MAC_6933
Contig6934.0.0,Contig6934.0.0,6934.0.0,OXYTRI_MAC_6934
Contig6935.0.1,Contig6935.0.1,6935.0.1,OXYTRI_MAC_6935
Contig6936.0,Contig6936.0,6936.0,OXYTRI_MAC_6936
Contig6937.0,Contig6937.0,6937.0,OXYTRI_MAC_6937
Contig6938.0,Contig6938.0,6938.0,OXYTRI_MAC_6938
Contig6939.0,Contig6939.0,6939.0,OXYTRI_MAC_6939
Contig12400.0,Contig12400.0,12400.0,OXYTRI_MAC_12400
Contig12401.0,Contig12401.0,12401.0,OXYTRI_MAC_12401
Contig12402.0,Contig12402.0,12402.0,OXYTRI_MAC_12402
Contig12403.0,Contig12403.0,12403.0,OXYTRI_MAC_12403
Contig12404.0.1,Contig12404.0.1,12404.0.1,OXYTRI_MAC_12404
Contig12405.0,Contig12405.0,12405.0,OXYTRI_MAC_12405
Contig12406.0,Contig12406.0,12406.0,OXYTRI_MAC_12406
Contig12407.0,Contig12407.0,12407.0,OXYTRI_MAC_12407
Contig12408.0,Contig12408.0,12408.0,OXYTRI_MAC_12408
Contig12409.0.0,Contig12409.0.0,12409.0.0,OXYTRI_MAC_12409
Contig15168.0,Contig15168.0,15168.0,OXYTRI_MAC_15168
Contig15169.0,Contig15169.0,15169.0,OXYTRI_MAC_15169
Contig6066.0.1,Contig6066.0.1,6066.0.1,OXYTRI_MAC_6066
Contig6067.0,Contig6067.0,6067.0,OXYTRI_MAC_6067
Contig6064.0,Contig6064.0,6064.0,OXYTRI_MAC_6064
Contig6062.0,Contig6062.0,6062.0,OXYTRI_MAC_25385
Contig6063.0.1,Contig6063.0.1,6063.0.1,OXYTRI_MAC_6063
Contig6060.0,Contig6060.0,6060.0,OXYTRI_MAC_6060
Contig6061.0.1,Contig6061.0.1,6061.0.1,OXYTRI_MAC_6061
Contig14808.0.1,Contig14808.0.1,14808.0.1,OXYTRI_MAC_14808
Contig14809.0,Contig14809.0,14809.0,OXYTRI_MAC_14809
Contig14802.0,Contig14802.0,14802.0,OXYTRI_MAC_14802
Contig14803.0,Contig14803.0,14803.0,OXYTRI_MAC_14803
Contig14800.0.0,Contig14800.0.0,14800.0.0,OXYTRI_MAC_14800
Contig14801.0,Contig14801.0,14801.0,OXYTRI_MAC_14801
Contig14806.0,Contig14806.0,14806.0,OXYTRI_MAC_14806
Contig14807.0,Contig14807.0,14807.0,OXYTRI_MAC_14807
Contig14804.0,Contig14804.0,14804.0,OXYTRI_MAC_14804
Contig14805.0,Contig14805.0,14805.0,OXYTRI_MAC_14805
Contig13469.0,Contig13469.0,13469.0,OXYTRI_MAC_13469
Contig13468.0,Contig13468.0,13468.0,OXYTRI_MAC_13468
Contig22423.0,Contig22423.0,22423.0,OXYTRI_MAC_22423
Contig22422.0,Contig22422.0,22422.0,OXYTRI_MAC_22422
Contig22425.0,Contig22425.0,22425.0,OXYTRI_MAC_22425
Contig22424.0,Contig22424.0,22424.0,OXYTRI_MAC_22424
Contig22427.0,Contig22427.0,22427.0,OXYTRI_MAC_22427
Contig22426.0,Contig22426.0,22426.0,OXYTRI_MAC_22426
Contig13461.0,Contig13461.0,13461.0,OXYTRI_MAC_13461
Contig13460.0,Contig13460.0,13460.0,OXYTRI_MAC_13460
Contig13463.0,Contig13463.0,13463.0,OXYTRI_MAC_13463
Contig13462.0,Contig13462.0,13462.0,OXYTRI_MAC_13462
Contig13464.0,Contig13464.0,13464.0,OXYTRI_MAC_13464
Contig13467.0.1,Contig13467.0.1,13467.0.1,OXYTRI_MAC_13467
Contig13466.0.1,Contig13466.0.1,13466.0.1,OXYTRI_MAC_13466
Contig18006.0,Contig18006.0,18006.0,OXYTRI_MAC_18006
Contig18007.0,Contig18007.0,18007.0,OXYTRI_MAC_18007
Contig18004.0,Contig18004.0,18004.0,OXYTRI_MAC_18004
Contig18005.0,Contig18005.0,18005.0,OXYTRI_MAC_18005
Contig18002.0,Contig18002.0,18002.0,OXYTRI_MAC_18002
Contig18003.0,Contig18003.0,18003.0,OXYTRI_MAC_18003
Contig18000.0,Contig18000.0,18000.0,OXYTRI_MAC_18000
Contig18001.0,Contig18001.0,18001.0,OXYTRI_MAC_18001
Contig18008.0,Contig18008.0,18008.0,OXYTRI_MAC_18008
Contig18009.0,Contig18009.0,18009.0,OXYTRI_MAC_18009
Contig21021.0,Contig21021.0,21021.0,OXYTRI_MAC_21021
Contig21022.0,Contig21022.0,21022.0,OXYTRI_MAC_21022
Contig21024.0,Contig21024.0,21024.0,OXYTRI_MAC_21024
Contig21025.0,Contig21025.0,21025.0,OXYTRI_MAC_21025
Contig21026.0,Contig21026.0,21026.0,OXYTRI_MAC_21026
Contig21028.0,Contig21028.0,21028.0,OXYTRI_MAC_21028
Contig21029.0,Contig21029.0,21029.0,OXYTRI_MAC_21029
Contig14118.0,Contig14118.0,14118.0,OXYTRI_MAC_14118
Contig14119.0,Contig14119.0,14119.0,OXYTRI_MAC_14119
Contig14110.0,Contig14110.0,14110.0,OXYTRI_MAC_14110
Contig14111.0,Contig14111.0,14111.0,OXYTRI_MAC_14111
Contig14112.0,Contig14112.0,14112.0,OXYTRI_MAC_14112
Contig14113.0,Contig14113.0,14113.0,OXYTRI_MAC_14113
Contig14114.0,Contig14114.0,14114.0,OXYTRI_MAC_14114
Contig14115.0,Contig14115.0,14115.0,OXYTRI_MAC_14115
Contig14116.0,Contig14116.0,14116.0,OXYTRI_MAC_14116
Contig14117.0,Contig14117.0,14117.0,OXYTRI_MAC_14117
Contig15164.0,Contig15164.0,15164.0,OXYTRI_MAC_15164
Contig276.0,Contig276.0,276.0,OXYTRI_MAC_276
Contig15444.0,Contig15444.0,15444.0,OXYTRI_MAC_15444
Contig275.0,Contig275.0,275.0,OXYTRI_MAC_275
Contig272.0,Contig272.0,272.0,OXYTRI_MAC_272
Contig15443.0,Contig15443.0,15443.0,OXYTRI_MAC_15443
Contig15449.0,Contig15449.0,15449.0,OXYTRI_MAC_15449
Contig15448.0,Contig15448.0,15448.0,OXYTRI_MAC_15448
Contig278.0,Contig278.0,278.0,OXYTRI_MAC_278
Contig279.0,Contig279.0,279.0,OXYTRI_MAC_279
Contig19754.0,Contig19754.0,19754.0,OXYTRI_MAC_19754
Contig11568.0.3,Contig11568.0.3,11568.0.3,OXYTRI_MAC_11568
Contig11569.0,Contig11569.0,11569.0,OXYTRI_MAC_11569
Contig19750.0,Contig19750.0,19750.0,OXYTRI_MAC_19750
Contig19753.0,Contig19753.0,19753.0,OXYTRI_MAC_19753
Contig19752.0,Contig19752.0,19752.0,OXYTRI_MAC_19752
Contig11562.0,Contig11562.0,11562.0,OXYTRI_MAC_11562
Contig11563.0,Contig11563.0,11563.0,OXYTRI_MAC_11563
Contig11560.0,Contig11560.0,11560.0,OXYTRI_MAC_11560
Contig11561.0,Contig11561.0,11561.0,OXYTRI_MAC_11561
Contig11566.0,Contig11566.0,11566.0,OXYTRI_MAC_11566
Contig11567.0,Contig11567.0,11567.0,OXYTRI_MAC_11567
Contig11564.0,Contig11564.0,11564.0,OXYTRI_MAC_11564
Contig11565.0,Contig11565.0,11565.0,OXYTRI_MAC_11565
Contig15999.0,Contig15999.0,15999.0,OXYTRI_MAC_15999
Contig15997.0,Contig15997.0,15997.0,OXYTRI_MAC_15997
Contig15995.0,Contig15995.0,15995.0,OXYTRI_MAC_15995
Contig15993.0,Contig15993.0,15993.0,OXYTRI_MAC_15993
Contig15992.0.0,Contig15992.0.0,15992.0.0,OXYTRI_MAC_15992
Contig15991.0,Contig15991.0,15991.0,OXYTRI_MAC_15991
Contig15990.0,Contig15990.0,15990.0,OXYTRI_MAC_15990
Contig11698.0,Contig11698.0,11698.0,OXYTRI_MAC_11698
Contig11699.0,Contig11699.0,11699.0,OXYTRI_MAC_11699
Contig11694.0,Contig11694.0,11694.0,OXYTRI_MAC_11694
Contig11695.0,Contig11695.0,11695.0,OXYTRI_MAC_11695
Contig11696.0,Contig11696.0,11696.0,OXYTRI_MAC_11696
Contig11697.0.0,Contig11697.0.0,11697.0.0,OXYTRI_MAC_11697
Contig11690.0,Contig11690.0,11690.0,OXYTRI_MAC_11690
Contig11691.0,Contig11691.0,11691.0,OXYTRI_MAC_11691
Contig11693.0,Contig11693.0,11693.0,OXYTRI_MAC_11693
Contig1306.0,Contig1306.0,1306.0,OXYTRI_MAC_1306
Contig1307.0,Contig1307.0,1307.0,OXYTRI_MAC_1307
Contig1304.0,Contig1304.0,1304.0,OXYTRI_MAC_1304
Contig1305.0,Contig1305.0,1305.0,OXYTRI_MAC_1305
Contig1303.0,Contig1303.0,1303.0,OXYTRI_MAC_1303
Contig1300.0,Contig1300.0,1300.0,OXYTRI_MAC_1300
Contig1301.0,Contig1301.0,1301.0,OXYTRI_MAC_1301
Contig1308.0,Contig1308.0,1308.0,OXYTRI_MAC_1308
Contig1309.0,Contig1309.0,1309.0,OXYTRI_MAC_1309
Contig20049.0,Contig20049.0,20049.0,OXYTRI_MAC_20049
Contig20048.0,Contig20048.0,20048.0,OXYTRI_MAC_20048
Contig20041.0,Contig20041.0,20041.0,OXYTRI_MAC_20041
Contig20040.0,Contig20040.0,20040.0,OXYTRI_MAC_20040
Contig20043.0,Contig20043.0,20043.0,OXYTRI_MAC_20043
Contig20042.0,Contig20042.0,20042.0,OXYTRI_MAC_20042
Contig20044.0,Contig20044.0,20044.0,OXYTRI_MAC_20044
Contig20047.0,Contig20047.0,20047.0,OXYTRI_MAC_20047
Contig20046.0,Contig20046.0,20046.0,OXYTRI_MAC_20046
Contig13548.0,Contig13548.0,13548.0,OXYTRI_MAC_13548
Contig13549.0,Contig13549.0,13549.0,OXYTRI_MAC_13549
Contig17591.0,Contig17591.0,17591.0,OXYTRI_MAC_17591
Contig17590.0,Contig17590.0,17590.0,OXYTRI_MAC_17590
Contig17593.0,Contig17593.0,17593.0,OXYTRI_MAC_17593
Contig17592.0,Contig17592.0,17592.0,OXYTRI_MAC_17592
Contig17595.0,Contig17595.0,17595.0,OXYTRI_MAC_17595
Contig13540.0,Contig13540.0,13540.0,OXYTRI_MAC_13540
Contig17597.0,Contig17597.0,17597.0,OXYTRI_MAC_17597
Contig17596.0,Contig17596.0,17596.0,OXYTRI_MAC_17596
Contig17599.0,Contig17599.0,17599.0,OXYTRI_MAC_17599
Contig17598.0,Contig17598.0,17598.0,OXYTRI_MAC_17598
Contig22509.0,Contig22509.0,22509.0,OXYTRI_MAC_22509
Contig13872.0,Contig13872.0,13872.0,OXYTRI_MAC_13872
Contig13873.0,Contig13873.0,13873.0,OXYTRI_MAC_13873
Contig13870.0,Contig13870.0,13870.0,OXYTRI_MAC_13870
Contig13871.0,Contig13871.0,13871.0,OXYTRI_MAC_13871
Contig13876.0,Contig13876.0,13876.0,OXYTRI_MAC_13876
Contig13874.0,Contig13874.0,13874.0,OXYTRI_MAC_13874
Contig13875.0,Contig13875.0,13875.0,OXYTRI_MAC_13875
Contig13879.0,Contig13879.0,13879.0,OXYTRI_MAC_13879
Contig21877.0,Contig21877.0,21877.0,OXYTRI_MAC_21877
Contig21875.0,Contig21875.0,21875.0,OXYTRI_MAC_21875
Contig21874.0,Contig21874.0,21874.0,OXYTRI_MAC_21874
Contig21873.0,Contig21873.0,21873.0,OXYTRI_MAC_21873
Contig21872.0,Contig21872.0,21872.0,OXYTRI_MAC_21872
Contig21871.0,Contig21871.0,21871.0,OXYTRI_MAC_21871
Contig21870.0,Contig21870.0,21870.0,OXYTRI_MAC_21870
Contig21879.0,Contig21879.0,21879.0,OXYTRI_MAC_21879
Contig21878.0,Contig21878.0,21878.0,OXYTRI_MAC_21878
Contig16969.0,Contig16969.0,16969.0,OXYTRI_MAC_16969
Contig16968.0,Contig16968.0,16968.0,OXYTRI_MAC_16968
Contig16963.0,Contig16963.0,16963.0,OXYTRI_MAC_16963
Contig16962.0,Contig16962.0,16962.0,
Contig16961.0,Contig16961.0,16961.0,OXYTRI_MAC_16961
Contig16966.0,Contig16966.0,16966.0,OXYTRI_MAC_16966
Contig16965.0,Contig16965.0,16965.0,OXYTRI_MAC_16965
Contig16964.0,Contig16964.0,16964.0,OXYTRI_MAC_16964
Contig8305.0,Contig8305.0,8305.0,
Contig8304.0,Contig8304.0,8304.0,OXYTRI_MAC_8304
Contig8307.0,Contig8307.0,8307.0,
Contig8306.0,Contig8306.0,8306.0,OXYTRI_MAC_8306
Contig8301.0,Contig8301.0,8301.0,OXYTRI_MAC_8301
Contig8300.0,Contig8300.0,8300.0,OXYTRI_MAC_8300
Contig8303.0,Contig8303.0,8303.0,OXYTRI_MAC_8303
Contig8302.0,Contig8302.0,8302.0,OXYTRI_MAC_2060
Contig8309.0,Contig8309.0,8309.0,OXYTRI_MAC_8309
Contig8308.0.1,Contig8308.0.1,8308.0.1,OXYTRI_MAC_8308
Contig9553.0,Contig9553.0,9553.0,OXYTRI_MAC_9553
Contig9552.0,Contig9552.0,9552.0,OXYTRI_MAC_9552
Contig9551.0,Contig9551.0,9551.0,OXYTRI_MAC_9551
Contig9550.0,Contig9550.0,9550.0,OXYTRI_MAC_9550
Contig9557.0,Contig9557.0,9557.0,OXYTRI_MAC_9557
Contig9556.0,Contig9556.0,9556.0,OXYTRI_MAC_9556
Contig9555.0.0,Contig9555.0.0,9555.0.0,OXYTRI_MAC_9555
Contig9554.0,Contig9554.0,9554.0,OXYTRI_MAC_9554
Contig9559.0,Contig9559.0,9559.0,OXYTRI_MAC_9559
Contig9558.0,Contig9558.0,9558.0,OXYTRI_MAC_9558
Contig6264.0,Contig6264.0,6264.0,OXYTRI_MAC_6264
Contig6265.0,Contig6265.0,6265.0,OXYTRI_MAC_6265
Contig6267.0,Contig6267.0,6267.0,OXYTRI_MAC_6267
Contig6260.0,Contig6260.0,6260.0,OXYTRI_MAC_6260
Contig6261.0.0,Contig6261.0.0,6261.0.0,
Contig6262.0,Contig6262.0,6262.0,OXYTRI_MAC_8088
Contig6263.0,Contig6263.0,6263.0,OXYTRI_MAC_6263
Contig6269.0,Contig6269.0,6269.0,OXYTRI_MAC_6269
Contig5795.0,Contig5795.0,5795.0,OXYTRI_MAC_5795
Contig5794.0,Contig5794.0,5794.0,OXYTRI_MAC_5794
Contig5797.0,Contig5797.0,5797.0,OXYTRI_MAC_5797
Contig5796.0,Contig5796.0,5796.0,OXYTRI_MAC_5796
Contig5791.0,Contig5791.0,5791.0,OXYTRI_MAC_5791
Contig5790.0,Contig5790.0,5790.0,OXYTRI_MAC_5790
Contig5792.0,Contig5792.0,5792.0,OXYTRI_MAC_5792
Contig5799.0,Contig5799.0,5799.0,OXYTRI_MAC_5799
Contig3568.0,Contig3568.0,3568.0,
Contig3569.0,Contig3569.0,3569.0,OXYTRI_MAC_3569
Contig3560.0,Contig3560.0,3560.0,OXYTRI_MAC_3560
Contig3562.0,Contig3562.0,3562.0,OXYTRI_MAC_3562
Contig3563.0.0,Contig3563.0.0,3563.0.0,OXYTRI_MAC_25829
Contig3564.0,Contig3564.0,3564.0,OXYTRI_MAC_3564
Contig3565.0,Contig3565.0,3565.0,OXYTRI_MAC_3565
Contig3566.0,Contig3566.0,3566.0,OXYTRI_MAC_3566
Contig3567.0,Contig3567.0,3567.0,OXYTRI_MAC_3567
Contig2219.0,Contig2219.0,2219.0,OXYTRI_MAC_2219
Contig2218.0,Contig2218.0,2218.0,OXYTRI_MAC_2218
Contig5249.0,Contig5249.0,5249.0,OXYTRI_MAC_5249
Contig5248.0,Contig5248.0,5248.0,OXYTRI_MAC_5248
Contig5247.0,Contig5247.0,5247.0,OXYTRI_MAC_5247
Contig5246.0,Contig5246.0,5246.0,OXYTRI_MAC_5246
Contig5245.0,Contig5245.0,5245.0,
Contig5244.0,Contig5244.0,5244.0,OXYTRI_MAC_5244
Contig5242.0,Contig5242.0,5242.0,OXYTRI_MAC_5242
Contig5241.0,Contig5241.0,5241.0,OXYTRI_MAC_25064
Contig5240.0.0,Contig5240.0.0,5240.0.0,OXYTRI_MAC_5240
Contig10909.0,Contig10909.0,10909.0,OXYTRI_MAC_10909
Contig10907.0,Contig10907.0,10907.0,OXYTRI_MAC_10907
Contig10906.0,Contig10906.0,10906.0,OXYTRI_MAC_10906
Contig10905.0,Contig10905.0,10905.0,OXYTRI_MAC_10905
Contig10904.0,Contig10904.0,10904.0,OXYTRI_MAC_10904
Contig10903.0,Contig10903.0,10903.0,OXYTRI_MAC_10903
Contig10902.0.0,Contig10902.0.0,10902.0.0,OXYTRI_MAC_869
Contig10901.0.1,Contig10901.0.1,10901.0.1,OXYTRI_MAC_10901
Contig10900.0,Contig10900.0,10900.0,OXYTRI_MAC_10900
Contig4118.0,Contig4118.0,4118.0,
Contig4114.0,Contig4114.0,4114.0,OXYTRI_MAC_4114
Contig4115.0,Contig4115.0,4115.0,OXYTRI_MAC_4115
Contig4116.0,Contig4116.0,4116.0,OXYTRI_MAC_4116
Contig4110.0,Contig4110.0,4110.0,OXYTRI_MAC_4110
Contig4111.0,Contig4111.0,4111.0,OXYTRI_MAC_16616
Contig4112.0,Contig4112.0,4112.0,OXYTRI_MAC_4112
Contig4113.0,Contig4113.0,4113.0,OXYTRI_MAC_4113
Contig1544.0,Contig1544.0,1544.0,OXYTRI_MAC_1544
Contig1545.0,Contig1545.0,1545.0,OXYTRI_MAC_1545
Contig1546.0,Contig1546.0,1546.0,OXYTRI_MAC_1546
Contig1547.0,Contig1547.0,1547.0,OXYTRI_MAC_1547
Contig1540.0,Contig1540.0,1540.0,OXYTRI_MAC_1540
Contig1541.0,Contig1541.0,1541.0,OXYTRI_MAC_1541
Contig1542.0,Contig1542.0,1542.0,OXYTRI_MAC_1542
Contig1543.0,Contig1543.0,1543.0,OXYTRI_MAC_1543
Contig1548.0,Contig1548.0,1548.0,OXYTRI_MAC_1548
Contig1549.0,Contig1549.0,1549.0,OXYTRI_MAC_1549
Contig1896.0,Contig1896.0,1896.0,OXYTRI_MAC_1896
Contig1897.0,Contig1897.0,1897.0,OXYTRI_MAC_1897
Contig1895.0,Contig1895.0,1895.0,OXYTRI_MAC_1895
Contig1892.0,Contig1892.0,1892.0,OXYTRI_MAC_1892
Contig1893.0,Contig1893.0,1893.0,OXYTRI_MAC_1893
Contig1890.0,Contig1890.0,1890.0,OXYTRI_MAC_1890
Contig1891.0,Contig1891.0,1891.0,OXYTRI_MAC_1891
Contig7491.0,Contig7491.0,7491.0,OXYTRI_MAC_7491
Contig7492.0,Contig7492.0,7492.0,OXYTRI_MAC_7492
Contig7493.0,Contig7493.0,7493.0,OXYTRI_MAC_7493
Contig7494.0,Contig7494.0,7494.0,OXYTRI_MAC_7494
Contig7495.0,Contig7495.0,7495.0,OXYTRI_MAC_7495
Contig7496.0,Contig7496.0,7496.0,OXYTRI_MAC_7496
Contig7498.0,Contig7498.0,7498.0,OXYTRI_MAC_7498
Contig7499.0,Contig7499.0,7499.0,OXYTRI_MAC_7499
Contig12677.0,Contig12677.0,12677.0,OXYTRI_MAC_12677
Contig12676.0,Contig12676.0,12676.0,OXYTRI_MAC_12676
Contig12675.0,Contig12675.0,12675.0,OXYTRI_MAC_12675
Contig12674.0,Contig12674.0,12674.0,OXYTRI_MAC_12674
Contig12673.0,Contig12673.0,12673.0,OXYTRI_MAC_12673
Contig12672.0,Contig12672.0,12672.0,OXYTRI_MAC_12672
Contig12671.0,Contig12671.0,12671.0,OXYTRI_MAC_12671
Contig12670.0,Contig12670.0,12670.0,OXYTRI_MAC_12670
Contig12679.0,Contig12679.0,12679.0,OXYTRI_MAC_12679
Contig12678.0,Contig12678.0,12678.0,OXYTRI_MAC_12678
Contig12031.0,Contig12031.0,12031.0,OXYTRI_MAC_12031
Contig17046.0,Contig17046.0,17046.0,OXYTRI_MAC_17046
Contig17045.0,Contig17045.0,17045.0,OXYTRI_MAC_17045
Contig14639.0,Contig14639.0,14639.0,OXYTRI_MAC_14639
Contig14638.0,Contig14638.0,14638.0,OXYTRI_MAC_14638
Contig17044.0,Contig17044.0,17044.0,OXYTRI_MAC_17044
Contig14631.0,Contig14631.0,14631.0,OXYTRI_MAC_14631
Contig12035.0,Contig12035.0,12035.0,OXYTRI_MAC_12035
Contig14633.0,Contig14633.0,14633.0,OXYTRI_MAC_14633
Contig14632.0,Contig14632.0,14632.0,OXYTRI_MAC_14632
Contig14635.0,Contig14635.0,14635.0,OXYTRI_MAC_14635
Contig14637.0,Contig14637.0,14637.0,OXYTRI_MAC_14637
Contig12034.0,Contig12034.0,12034.0,OXYTRI_MAC_12034
Contig17041.0,Contig17041.0,17041.0,OXYTRI_MAC_17041
Contig17040.0,Contig17040.0,17040.0,OXYTRI_MAC_17040
Contig22588.0,Contig22588.0,22588.0,OXYTRI_MAC_22588
Contig22589.0,Contig22589.0,22589.0,OXYTRI_MAC_22589
Contig22586.0,Contig22586.0,22586.0,OXYTRI_MAC_22586
Contig22587.0,Contig22587.0,22587.0,OXYTRI_MAC_22587
Contig22584.0,Contig22584.0,22584.0,OXYTRI_MAC_22584
Contig22585.0,Contig22585.0,22585.0,OXYTRI_MAC_22585
Contig22582.0,Contig22582.0,22582.0,OXYTRI_MAC_22582
Contig22583.0.0,Contig22583.0.0,22583.0.0,
Contig22580.0,Contig22580.0,22580.0,OXYTRI_MAC_22580
Contig22581.0,Contig22581.0,22581.0,OXYTRI_MAC_22581
Contig4331.0,Contig4331.0,4331.0,OXYTRI_MAC_4331
Contig18635.0,Contig18635.0,18635.0,OXYTRI_MAC_18635
Contig18634.0,Contig18634.0,18634.0,OXYTRI_MAC_18634
Contig18637.0,Contig18637.0,18637.0,OXYTRI_MAC_18637
Contig18636.0,Contig18636.0,18636.0,OXYTRI_MAC_18636
Contig18631.0,Contig18631.0,18631.0,OXYTRI_MAC_18631
Contig18630.0,Contig18630.0,18630.0,OXYTRI_MAC_18630
Contig18633.0,Contig18633.0,18633.0,OXYTRI_MAC_18633
Contig18632.0,Contig18632.0,18632.0,OXYTRI_MAC_18632
Contig18639.0,Contig18639.0,18639.0,OXYTRI_MAC_18639
Contig18638.0,Contig18638.0,18638.0,OXYTRI_MAC_18638
Contig11719.0.1,Contig11719.0.1,11719.0.1,OXYTRI_MAC_11719
Contig11718.0,Contig11718.0,11718.0,OXYTRI_MAC_11718
Contig16569.0,Contig16569.0,16569.0,OXYTRI_MAC_16569
Contig16568.0,Contig16568.0,16568.0,OXYTRI_MAC_16568
Contig16567.0,Contig16567.0,16567.0,OXYTRI_MAC_16567
Contig16566.0,Contig16566.0,16566.0,OXYTRI_MAC_16566
Contig11713.0,Contig11713.0,11713.0,OXYTRI_MAC_11713
Contig16564.0,Contig16564.0,16564.0,OXYTRI_MAC_16564
Contig11715.0,Contig11715.0,11715.0,OXYTRI_MAC_11715
Contig16562.0,Contig16562.0,16562.0,OXYTRI_MAC_16562
Contig11717.0,Contig11717.0,11717.0,OXYTRI_MAC_11717
Contig19278.0,Contig19278.0,19278.0,OXYTRI_MAC_19278
Contig19279.0,Contig19279.0,19279.0,OXYTRI_MAC_19279
Contig19276.0,Contig19276.0,19276.0,OXYTRI_MAC_19276
Contig19277.0,Contig19277.0,19277.0,OXYTRI_MAC_19277
Contig19274.0,Contig19274.0,19274.0,OXYTRI_MAC_19274
Contig19275.0,Contig19275.0,19275.0,OXYTRI_MAC_19275
Contig19272.0,Contig19272.0,19272.0,OXYTRI_MAC_19272
Contig19273.0,Contig19273.0,19273.0,OXYTRI_MAC_19273
Contig19270.0.0,Contig19270.0.0,19270.0.0,OXYTRI_MAC_19270
Contig17380.0,Contig17380.0,17380.0,OXYTRI_MAC_17380
Contig17381.0,Contig17381.0,17381.0,OXYTRI_MAC_17381
Contig17382.0,Contig17382.0,17382.0,OXYTRI_MAC_17382
Contig17383.0,Contig17383.0,17383.0,OXYTRI_MAC_17383
Contig17384.0,Contig17384.0,17384.0,OXYTRI_MAC_17384
Contig17385.0,Contig17385.0,17385.0,OXYTRI_MAC_17385
Contig17386.0,Contig17386.0,17386.0,OXYTRI_MAC_17386
