name,variant
Contig23.1,"Contig23.1,Contig23.1v1"
Contig23.1v1,"Contig23.1,Contig23.1v1"
Contig24.0,Contig24.0
Contig24.1,Contig24.1
Contig25.0,"Contig25.0,Contig25.0i1"
Contig25.0i1,"Contig25.0,Contig25.0i1"
Contig25.1,"Contig25.1,Contig25.1v1,Contig25.1i1"
Contig25.1v1,"Contig25.1,Contig25.1v1,Contig25.1i1"
Contig25.1i1,"Contig25.1,Contig25.1v1,Contig25.1i1"
Contig26.0,Contig26.0
Contig26.1,"Contig26.1,Contig26.1i1,Contig26.1i1v1,Contig26.1i1v2,Contig26.1i1v3"
Contig26.1i1,"Contig26.1,Contig26.1i1,Contig26.1i1v1,Contig26.1i1v2,Contig26.1i1v3"
Contig26.1i1v1,"Contig26.1,Contig26.1i1,Contig26.1i1v1,Contig26.1i1v2,Contig26.1i1v3"
Contig26.1i1v2,"Contig26.1,Contig26.1i1,Contig26.1i1v1,Contig26.1i1v2,Contig26.1i1v3"
Contig26.1i1v3,"Contig26.1,Contig26.1i1,Contig26.1i1v1,Contig26.1i1v2,Contig26.1i1v3"
Contig27.1,"Contig27.1,Contig27.1v1"
Contig27.1v1,"Contig27.1,Contig27.1v1"
Contig28.0,"Contig28.0,Contig28.0v1"
Contig28.0v1,"Contig28.0,Contig28.0v1"
Contig28.1,Contig28.1
Contig29.0,"Contig29.0,Contig29.0v1"
Contig29.0v1,"Contig29.0,Contig29.0v1"
Contig29.1,"Contig29.1,Contig29.1v1"
Contig29.1v1,"Contig29.1,Contig29.1v1"
Contig30.0,"Contig30.0,Contig30.0i1"
Contig30.0i1,"Contig30.0,Contig30.0i1"
Contig30.1,"Contig30.1,Contig30.1i1"
Contig30.1i1,"Contig30.1,Contig30.1i1"
Contig31.0,Contig31.0
Contig31.1,Contig31.1
Contig32.0,Contig32.0
Contig32.1,Contig32.1
Contig33.0,"Contig33.0,Contig33.0i1,Contig33.0v1"
Contig33.0i1,"Contig33.0,Contig33.0i1,Contig33.0v1"
Contig33.0v1,"Contig33.0,Contig33.0i1,Contig33.0v1"
Contig33.1,"Contig33.1,Contig33.1i1,Contig33.1i1v1,Contig33.1i2"
Contig33.1i1,"Contig33.1,Contig33.1i1,Contig33.1i1v1,Contig33.1i2"
Contig33.1i1v1,"Contig33.1,Contig33.1i1,Contig33.1i1v1,Contig33.1i2"
Contig33.1i2,"Contig33.1,Contig33.1i1,Contig33.1i1v1,Contig33.1i2"
Contig34.0,"Contig34.0,Contig34.0v1"
Contig34.0v1,"Contig34.0,Contig34.0v1"
Contig34.1,Contig34.1
Contig35.0,"Contig35.0,Contig35.0v1"
Contig35.0v1,"Contig35.0,Contig35.0v1"
Contig35.1,Contig35.1
Contig36.1,"Contig36.1,Contig36.1i1"
Contig36.1i1,"Contig36.1,Contig36.1i1"
Contig37.0,"Contig37.0,Contig37.0i1"
Contig37.0i1,"Contig37.0,Contig37.0i1"
Contig37.1,"Contig37.1,Contig37.1i1,Contig37.1i1v1"
Contig37.1i1,"Contig37.1,Contig37.1i1,Contig37.1i1v1"
Contig37.1i1v1,"Contig37.1,Contig37.1i1,Contig37.1i1v1"
Contig38.1,"Contig38.1,Contig38.1v1"
Contig38.1v1,"Contig38.1,Contig38.1v1"
Contig40.1,"Contig40.1,Contig40.1i1,Contig40.1i1v1,Contig40.1i1v2,Contig40.1i2,Contig40.1v1"
Contig40.1i1,"Contig40.1,Contig40.1i1,Contig40.1i1v1,Contig40.1i1v2,Contig40.1i2,Contig40.1v1"
Contig40.1i1v1,"Contig40.1,Contig40.1i1,Contig40.1i1v1,Contig40.1i1v2,Contig40.1i2,Contig40.1v1"
Contig40.1i1v2,"Contig40.1,Contig40.1i1,Contig40.1i1v1,Contig40.1i1v2,Contig40.1i2,Contig40.1v1"
Contig40.1i2,"Contig40.1,Contig40.1i1,Contig40.1i1v1,Contig40.1i1v2,Contig40.1i2,Contig40.1v1"
Contig40.1v1,"Contig40.1,Contig40.1i1,Contig40.1i1v1,Contig40.1i1v2,Contig40.1i2,Contig40.1v1"
Contig41.0,Contig41.0
Contig41.1,"Contig41.1,Contig41.1v1,Contig41.1v2"
Contig41.1v1,"Contig41.1,Contig41.1v1,Contig41.1v2"
Contig41.1v2,"Contig41.1,Contig41.1v1,Contig41.1v2"
Contig42.1,"Contig42.1,Contig42.1v1"
Contig42.1v1,"Contig42.1,Contig42.1v1"
Contig43.0,Contig43.0
Contig43.1,"Contig43.1,Contig43.1v1"
Contig43.1v1,"Contig43.1,Contig43.1v1"
Contig44.0,Contig44.0
Contig45.0,"Contig45.0,Contig45.0i1,Contig45.0i1v1"
Contig45.0i1,"Contig45.0,Contig45.0i1,Contig45.0i1v1"
Contig45.0i1v1,"Contig45.0,Contig45.0i1,Contig45.0i1v1"
Contig45.1,Contig45.1
Contig46.0,"Contig46.0,Contig46.0v1,Contig46.0v2"
Contig46.0v1,"Contig46.0,Contig46.0v1,Contig46.0v2"
Contig46.0v2,"Contig46.0,Contig46.0v1,Contig46.0v2"
Contig47.0,"Contig47.0,Contig47.0i1,Contig47.0i1v1"
Contig47.0i1,"Contig47.0,Contig47.0i1,Contig47.0i1v1"
Contig47.0i1v1,"Contig47.0,Contig47.0i1,Contig47.0i1v1"
Contig47.1,Contig47.1
Contig48.1,"Contig48.1,Contig48.1v1,Contig48.1i1,Contig48.1i1v1,Contig48.1i1v2"
Contig48.1v1,"Contig48.1,Contig48.1v1,Contig48.1i1,Contig48.1i1v1,Contig48.1i1v2"
Contig48.1i1,"Contig48.1,Contig48.1v1,Contig48.1i1,Contig48.1i1v1,Contig48.1i1v2"
Contig48.1i1v1,"Contig48.1,Contig48.1v1,Contig48.1i1,Contig48.1i1v1,Contig48.1i1v2"
Contig48.1i1v2,"Contig48.1,Contig48.1v1,Contig48.1i1,Contig48.1i1v1,Contig48.1i1v2"
Contig49.1,"Contig49.1,Contig49.1v1"
Contig49.1v1,"Contig49.1,Contig49.1v1"
Contig50.0,Contig50.0
Contig50.1,"Contig50.1,Contig50.1v1"
Contig50.1v1,"Contig50.1,Contig50.1v1"
Contig51.0,"Contig51.0,Contig51.0i1,Contig51.0i2"
Contig51.0i1,"Contig51.0,Contig51.0i1,Contig51.0i2"
Contig51.0i2,"Contig51.0,Contig51.0i1,Contig51.0i2"
Contig51.1,"Contig51.1,Contig51.1v1"
Contig51.1v1,"Contig51.1,Contig51.1v1"
Contig52.0,"Contig52.0,Contig52.0v1"
Contig52.0v1,"Contig52.0,Contig52.0v1"
Contig52.1,"Contig52.1,Contig52.1v1"
Contig52.1v1,"Contig52.1,Contig52.1v1"
Contig53.0.0,Contig53.0.0
Contig53.1,"Contig53.1,Contig53.1i1"
Contig53.1i1,"Contig53.1,Contig53.1i1"
Contig54.0.0,Contig54.0.0
Contig54.1,"Contig54.1,Contig54.1v1,Contig54.1v2"
Contig54.1v1,"Contig54.1,Contig54.1v1,Contig54.1v2"
Contig54.1v2,"Contig54.1,Contig54.1v1,Contig54.1v2"
Contig55.0,Contig55.0
Contig55.1,Contig55.1
Contig56.0,Contig56.0
Contig57.0,"Contig57.0,Contig57.0i1,Contig57.0i1v1"
Contig57.0i1,"Contig57.0,Contig57.0i1,Contig57.0i1v1"
Contig57.0i1v1,"Contig57.0,Contig57.0i1,Contig57.0i1v1"
Contig58.0,"Contig58.0,Contig58.0v1"
Contig58.0v1,"Contig58.0,Contig58.0v1"
Contig58.1,"Contig58.1,Contig58.1i1"
Contig58.1i1,"Contig58.1,Contig58.1i1"
Contig59.0,Contig59.0
Contig59.1,"Contig59.1,Contig59.1i1"
Contig59.1i1,"Contig59.1,Contig59.1i1"
Contig60.0,Contig60.0
Contig60.1,"Contig60.1,Contig60.1v1"
Contig60.1v1,"Contig60.1,Contig60.1v1"
Contig61.0,"Contig61.0,Contig61.0i1"
Contig61.0i1,"Contig61.0,Contig61.0i1"
Contig61.1,"Contig61.1,Contig61.1v1,Contig61.1v2"
Contig61.1v1,"Contig61.1,Contig61.1v1,Contig61.1v2"
Contig61.1v2,"Contig61.1,Contig61.1v1,Contig61.1v2"
Contig62.1,"Contig62.1,Contig62.1i1"
Contig62.1i1,"Contig62.1,Contig62.1i1"
Contig63.1,"Contig63.1,Contig63.1i1,Contig63.1i1v1"
Contig63.1i1,"Contig63.1,Contig63.1i1,Contig63.1i1v1"
Contig63.1i1v1,"Contig63.1,Contig63.1i1,Contig63.1i1v1"
Contig64.0,"Contig64.0,Contig64.0v1,Contig64.0v2,Contig64.0i1"
Contig64.0v1,"Contig64.0,Contig64.0v1,Contig64.0v2,Contig64.0i1"
Contig64.0v2,"Contig64.0,Contig64.0v1,Contig64.0v2,Contig64.0i1"
Contig64.0i1,"Contig64.0,Contig64.0v1,Contig64.0v2,Contig64.0i1"
Contig64.1,"Contig64.1,Contig64.1i1,Contig64.1i1v1"
Contig64.1i1,"Contig64.1,Contig64.1i1,Contig64.1i1v1"
Contig64.1i1v1,"Contig64.1,Contig64.1i1,Contig64.1i1v1"
Contig65.0,"Contig65.0,Contig65.0v1"
Contig65.0v1,"Contig65.0,Contig65.0v1"
Contig65.1,"Contig65.1,Contig65.1v1"
Contig65.1v1,"Contig65.1,Contig65.1v1"
Contig66.1,"Contig66.1,Contig66.1v1"
Contig66.1v1,"Contig66.1,Contig66.1v1"
Contig67.0,Contig67.0
Contig67.1,Contig67.1
Contig68.0,"Contig68.0,Contig68.0i1,Contig68.0i1v2"
Contig68.0i1,"Contig68.0,Contig68.0i1,Contig68.0i1v2"
Contig68.0i1v2,"Contig68.0,Contig68.0i1,Contig68.0i1v2"
Contig68.1,"Contig68.1,Contig68.1v1"
Contig68.1v1,"Contig68.1,Contig68.1v1"
