primary,oxydb_mac_gene_2012
Contig10116.0.g14,Contig10116.0.g14
Contig10117.0.g15,Contig10117.0.g15
Contig10117.0.g16,Contig10117.0.g16
Contig10119.0.1.g17,Contig10119.0.1.g17
Contig10119.0.1.g18,Contig10119.0.1.g18
Contig1012.1.g88,Contig1012.1.g88
Contig10122.0.g34,Contig10122.0.g34
Contig10124.0.g36,Contig10124.0.g36
Contig10124.0.g37,Contig10124.0.g37
Contig10125.0.g35,Contig10125.0.g35
Contig10126.0.g38,Contig10126.0.g38
Contig10128.0.g27,Contig10128.0.g27
Contig10129.0.g26,Contig10129.0.g26
Contig1013.1.g89,Contig1013.1.g89
Contig10131.0.1.g104,Contig10131.0.1.g104
Contig10133.0.0.g101,Contig10133.0.0.g101
Contig10133.0.0.g102,Contig10133.0.0.g102
Contig10133.0.1.g103,Contig10133.0.1.g103
Contig10134.0.g97,Contig10134.0.g97
Contig10134.0.g98,Contig10134.0.g98
Contig10135.0.0.g99,Contig10135.0.0.g99
Contig10135.0.0.g100,Contig10135.0.0.g100
Contig10136.0.g95,Contig10136.0.g95
Contig10137.0.g96,Contig10137.0.g96
Contig10138.0.g91,Contig10138.0.g91
Contig10138.0.g92,Contig10138.0.g92
Contig10139.0.g93,Contig10139.0.g93
Contig10139.0.g94,Contig10139.0.g94
Contig1014.1.g90,Contig1014.1.g90
Contig1014.1.g91,Contig1014.1.g91
Contig10140.0.g46,Contig10140.0.g46
Contig10140.0.g47,Contig10140.0.g47
Contig10141.0.g44,Contig10141.0.g44
Contig10141.0.g45,Contig10141.0.g45
Contig10142.0.g43,Contig10142.0.g43
Contig10143.0.g42,Contig10143.0.g42
Contig10145.0.g50,Contig10145.0.g50
Contig10146.0.g49,Contig10146.0.g49
Contig10147.0.0.g48,Contig10147.0.0.g48
Contig10148.0.g40,Contig10148.0.g40
Contig10148.0.g41,Contig10148.0.g41
Contig10149.0.1.g39,Contig10149.0.1.g39
Contig1015.0.g5,Contig1015.0.g5
Contig1015.1.g92,Contig1015.1.g92
Contig1015.1.g93,Contig1015.1.g93
Contig10151.0.g61,Contig10151.0.g61
Contig10152.0.g62,Contig10152.0.g62
Contig10153.0.g63,Contig10153.0.g63
Contig10155.0.g64,Contig10155.0.g64
Contig10156.0.g65,Contig10156.0.g65
Contig10158.0.g50,Contig10158.0.g50
Contig10159.0.g51,Contig10159.0.g51
Contig1016.0.g3,Contig1016.0.g3
Contig1016.1.g94,Contig1016.1.g94
Contig10160.0.g1,Contig10160.0.g1
Contig10161.0.g103,Contig10161.0.g103
Contig10162.0.1.g3,Contig10162.0.1.g3
Contig10162.0.1.g4,Contig10162.0.1.g4
Contig10163.0.g2,Contig10163.0.g2
Contig10164.0.g101,Contig10164.0.g101
Contig10166.0.g102,Contig10166.0.g102
Contig10168.0.g100,Contig10168.0.g100
Contig10169.0.g99,Contig10169.0.g99
Contig1017.0.g4,Contig1017.0.g4
Contig10170.0.g15,Contig10170.0.g15
Contig10171.0.g16,Contig10171.0.g16
Contig10171.0.g17,Contig10171.0.g17
Contig10172.0.g13,Contig10172.0.g13
Contig10173.0.g14,Contig10173.0.g14
Contig10174.0.g21,Contig10174.0.g21
Contig10175.0.g22,Contig10175.0.g22
Contig10176.0.g18,Contig10176.0.g18
Contig10177.0.g19,Contig10177.0.g19
Contig10177.0.g20,Contig10177.0.g20
Contig10178.0.g23,Contig10178.0.g23
Contig1018.1.g95,Contig1018.1.g95
Contig10183.0.g39,Contig10183.0.g39
Contig10184.0.g70,Contig10184.0.g70
Contig10185.0.g36,Contig10185.0.g36
Contig10185.0.g37,Contig10185.0.g37
Contig10186.0.g33,Contig10186.0.g33
Contig10186.0.g34,Contig10186.0.g34
Contig10186.0.g35,Contig10186.0.g35
Contig10187.0.g31,Contig10187.0.g31
Contig10187.0.g32,Contig10187.0.g32
Contig10188.0.g29,Contig10188.0.g29
Contig10188.0.g30,Contig10188.0.g30
Contig10189.0.g27,Contig10189.0.g27
Contig10189.0.g28,Contig10189.0.g28
Contig1019.1.g96,Contig1019.1.g96
Contig1019.1.g97,Contig1019.1.g97
Contig10191.0.g19,Contig10191.0.g19
Contig10192.0.g20,Contig10192.0.g20
Contig10194.0.g15,Contig10194.0.g15
Contig10195.0.g16,Contig10195.0.g16
Contig10196.0.g17,Contig10196.0.g17
Contig10197.0.g18,Contig10197.0.g18
Contig10199.0.g14,Contig10199.0.g14
Contig102.0.g15,Contig102.0.g15
Contig102.1.g84,Contig102.1.g84
Contig1020.1.g98,Contig1020.1.g98
Contig10200.0.g16,Contig10200.0.g16
Contig10200.0.g17,Contig10200.0.g17
Contig10202.0.g18,Contig10202.0.g18
Contig10203.0.g19,Contig10203.0.g19
Contig10206.0.g13,Contig10206.0.g13
Contig10207.0.g14,Contig10207.0.g14
Contig10207.0.g15,Contig10207.0.g15
Contig10208.0.g11,Contig10208.0.g11
Contig10209.0.g12,Contig10209.0.g12
Contig1021.1.g99,Contig1021.1.g99
Contig10210.0.g34,Contig10210.0.g34
Contig10211.0.g33,Contig10211.0.g33
Contig10212.0.g2,Contig10212.0.g2
Contig10214.0.g7,Contig10214.0.g7
Contig10215.0.g19,Contig10215.0.g19
Contig10216.0.g18,Contig10216.0.g18
Contig10217.0.g17,Contig10217.0.g17
Contig10218.0.g16,Contig10218.0.g16
Contig10219.0.g15,Contig10219.0.g15
Contig1022.0.g92,Contig1022.0.g92
Contig1022.1.g100,Contig1022.1.g100
Contig1022.1.g101,Contig1022.1.g101
Contig10220.0.g28,Contig10220.0.g28
Contig10221.0.g29,Contig10221.0.g29
Contig10221.0.g30,Contig10221.0.g30
Contig10223.0.1.g27,Contig10223.0.1.g27
Contig10224.0.g25,Contig10224.0.g25
Contig10225.0.g26,Contig10225.0.g26
Contig10226.0.g24,Contig10226.0.g24
Contig10228.0.g31,Contig10228.0.g31
Contig10229.0.g32,Contig10229.0.g32
Contig1023.1.g102,Contig1023.1.g102
Contig10230.0.g20,Contig10230.0.g20
Contig10231.0.g19,Contig10231.0.g19
Contig10232.0.g22,Contig10232.0.g22
Contig10233.0.1.g21,Contig10233.0.1.g21
Contig10234.0.g24,Contig10234.0.g24
Contig10235.0.g23,Contig10235.0.g23
Contig10236.0.g26,Contig10236.0.g26
Contig10236.0.g27,Contig10236.0.g27
Contig10237.0.g25,Contig10237.0.g25
Contig10238.0.0.g29,Contig10238.0.0.g29
Contig10239.0.g28,Contig10239.0.g28
Contig1024.0.g91,Contig1024.0.g91
Contig1024.1.g103,Contig1024.1.g103
Contig10240.0.g57,Contig10240.0.g57
Contig10242.0.g58,Contig10242.0.g58
Contig10243.0.g59,Contig10243.0.g59
Contig10244.0.g60,Contig10244.0.g60
Contig10245.0.g61,Contig10245.0.g61
Contig10246.0.g62,Contig10246.0.g62
Contig10247.0.g63,Contig10247.0.g63
Contig10247.0.g64,Contig10247.0.g64
Contig10248.0.g65,Contig10248.0.g65
Contig10249.0.g66,Contig10249.0.g66
Contig10249.0.g67,Contig10249.0.g67
Contig1025.0.g90,Contig1025.0.g90
Contig1025.1.g104,Contig1025.1.g104
Contig10250.0.g7,Contig10250.0.g7
Contig10250.0.g8,Contig10250.0.g8
Contig10251.0.g6,Contig10251.0.g6
Contig10252.0.g4,Contig10252.0.g4
Contig10252.0.g5,Contig10252.0.g5
Contig10253.0.0.g3,Contig10253.0.0.g3
Contig10254.0.g12,Contig10254.0.g12
Contig10255.0.g11,Contig10255.0.g11
Contig10256.0.g10,Contig10256.0.g10
Contig10257.0.g9,Contig10257.0.g9
Contig10258.0.g13,Contig10258.0.g13
Contig1026.0.g89,Contig1026.0.g89
Contig10260.0.g5,Contig10260.0.g5
Contig10261.0.g6,Contig10261.0.g6
Contig10261.0.g7,Contig10261.0.g7
Contig10261.0.g8,Contig10261.0.g8
Contig10262.0.g3,Contig10262.0.g3
Contig10263.0.g4,Contig10263.0.g4
Contig10264.0.g11,Contig10264.0.g11
Contig10265.0.g12,Contig10265.0.g12
Contig10265.0.g13,Contig10265.0.g13
Contig10267.0.g102,Contig10267.0.g102
Contig10268.0.g83,Contig10268.0.g83
Contig10269.0.g102,Contig10269.0.g102
Contig1027.0.g88,Contig1027.0.g88
Contig1027.1.g105,Contig1027.1.g105
Contig10270.0.g5,Contig10270.0.g5
Contig10271.0.g4,Contig10271.0.g4
Contig10272.0.g7,Contig10272.0.g7
Contig10273.0.g6,Contig10273.0.g6
Contig10274.0.g1,Contig10274.0.g1
Contig10275.0.g121,Contig10275.0.g121
Contig10276.0.g3,Contig10276.0.g3
Contig10277.0.2.g2,Contig10277.0.2.g2
Contig10278.0.g9,Contig10278.0.g9
Contig10279.0.g8,Contig10279.0.g8
Contig1028.0.g94,Contig1028.0.g94
Contig1028.1.g106,Contig1028.1.g106
Contig10280.0.g46,Contig10280.0.g46
Contig10281.0.g47,Contig10281.0.g47
Contig10282.0.g48,Contig10282.0.g48
Contig10283.0.g49,Contig10283.0.g49
Contig10284.0.g42,Contig10284.0.g42
Contig10285.0.g43,Contig10285.0.g43
Contig10286.0.1.g44,Contig10286.0.1.g44
Contig10287.0.g45,Contig10287.0.g45
Contig10288.0.g50,Contig10288.0.g50
Contig10289.0.g51,Contig10289.0.g51
Contig1029.0.g93,Contig1029.0.g93
Contig1029.1.g107,Contig1029.1.g107
Contig10290.0.g21,Contig10290.0.g21
Contig10291.0.g20,Contig10291.0.g20
Contig10292.0.g7,Contig10292.0.g7
Contig10293.0.g18,Contig10293.0.g18
Contig10294.0.g5,Contig10294.0.g5
Contig10295.0.g11,Contig10295.0.g11
Contig10296.0.g10,Contig10296.0.g10
Contig10297.0.g2,Contig10297.0.g2
Contig10298.0.g8,Contig10298.0.g8
Contig103.0.g16,Contig103.0.g16
Contig103.1.g85,Contig103.1.g85
Contig1030.0.g67,Contig1030.0.g67
Contig1030.1.g108,Contig1030.1.g108
Contig1030.1.g109,Contig1030.1.g109
Contig1030.1.g110,Contig1030.1.g110
Contig1030.1.g111,Contig1030.1.g111
Contig1030.1.g112,Contig1030.1.g112
Contig10300.0.g59,Contig10300.0.g59
Contig10301.0.g56,Contig10301.0.g56
Contig10301.0.g57,Contig10301.0.g57
Contig10301.0.g58,Contig10301.0.g58
Contig10302.0.g62,Contig10302.0.g62
Contig10303.0.g60,Contig10303.0.g60
Contig10303.0.g61,Contig10303.0.g61
Contig10304.0.0.g54,Contig10304.0.0.g54
Contig10305.0.g53,Contig10305.0.g53
Contig10306.0.g55,Contig10306.0.g55
Contig10308.0.g64,Contig10308.0.g64
Contig10309.0.g63,Contig10309.0.g63
Contig1031.1.g113,Contig1031.1.g113
Contig10311.0.g19,Contig10311.0.g19
Contig10311.0.g20,Contig10311.0.g20
Contig10312.0.g16,Contig10312.0.g16
Contig10312.0.g17,Contig10312.0.g17
Contig10313.0.g18,Contig10313.0.g18
Contig10314.0.g22,Contig10314.0.g22
Contig10315.0.g23,Contig10315.0.g23
Contig10316.0.g21,Contig10316.0.g21
Contig10318.0.g9,Contig10318.0.g9
Contig10319.0.g10,Contig10319.0.g10
Contig1032.0.g68,Contig1032.0.g68
Contig1032.0.g69,Contig1032.0.g69
Contig1032.1.g114,Contig1032.1.g114
Contig10320.0.g113,Contig10320.0.g113
Contig10321.0.g112,Contig10321.0.g112
Contig10322.0.g111,Contig10322.0.g111
Contig10323.0.g109,Contig10323.0.g109
Contig10323.0.g110,Contig10323.0.g110
Contig10324.0.g1,Contig10324.0.g1
Contig10325.0.g100,Contig10325.0.g100
Contig10326.0.g115,Contig10326.0.g115
Contig10326.0.g116,Contig10326.0.g116
Contig10327.0.1.g114,Contig10327.0.1.g114
Contig10328.0.g7,Contig10328.0.g7
Contig10329.0.g5,Contig10329.0.g5
Contig10329.0.g6,Contig10329.0.g6
Contig1033.0.g70,Contig1033.0.g70
Contig1033.1.g115,Contig1033.1.g115
Contig10330.0.g40,Contig10330.0.g40
Contig10331.0.g41,Contig10331.0.g41
Contig10332.0.g42,Contig10332.0.g42
Contig10333.0.0.g43,Contig10333.0.0.g43
Contig10333.0.0.g44,Contig10333.0.0.g44
Contig10334.0.0.g45,Contig10334.0.0.g45
Contig10335.0.g46,Contig10335.0.g46
Contig10336.0.g47,Contig10336.0.g47
Contig10336.0.g48,Contig10336.0.g48
Contig10337.0.g49,Contig10337.0.g49
Contig10338.0.g50,Contig10338.0.g50
Contig10339.0.g51,Contig10339.0.g51
Contig1034.1.g116,Contig1034.1.g116
Contig10340.0.g81,Contig10340.0.g81
Contig10342.0.g84,Contig10342.0.g84
Contig10343.0.g82,Contig10343.0.g82
Contig10343.0.g83,Contig10343.0.g83
Contig10344.0.g85,Contig10344.0.g85
Contig10348.0.1.g87,Contig10348.0.1.g87
Contig10349.0.g86,Contig10349.0.g86
Contig1035.0.1.g71,Contig1035.0.1.g71
Contig1035.1.g117,Contig1035.1.g117
Contig10351.0.g12,Contig10351.0.g12
Contig10352.0.g9,Contig10352.0.g9
Contig10353.0.g10,Contig10353.0.g10
Contig10353.0.g11,Contig10353.0.g11
Contig10354.0.g6,Contig10354.0.g6
Contig10355.0.g7,Contig10355.0.g7
Contig10355.0.g8,Contig10355.0.g8
Contig10356.0.g4,Contig10356.0.g4
Contig10357.0.g5,Contig10357.0.g5
Contig10358.0.g13,Contig10358.0.g13
Contig10358.0.g14,Contig10358.0.g14
Contig1036.0.0.g72,Contig1036.0.0.g72
Contig1036.1.g118,Contig1036.1.g118
Contig10361.0.g87,Contig10361.0.g87
Contig10362.0.g85,Contig10362.0.g85
Contig10362.0.g86,Contig10362.0.g86
Contig10363.0.g84,Contig10363.0.g84
Contig10364.0.g83,Contig10364.0.g83
Contig10365.0.g82,Contig10365.0.g82
Contig10366.0.g81,Contig10366.0.g81
Contig10368.0.g79,Contig10368.0.g79
Contig10368.0.g80,Contig10368.0.g80
Contig1037.0.g73,Contig1037.0.g73
Contig1037.1.g119,Contig1037.1.g119
Contig10370.0.g66,Contig10370.0.g66
Contig10371.0.g67,Contig10371.0.g67
Contig10372.0.g68,Contig10372.0.g68
Contig10373.0.g69,Contig10373.0.g69
Contig10374.0.g61,Contig10374.0.g61
Contig10375.0.g62,Contig10375.0.g62
Contig10375.0.g63,Contig10375.0.g63
Contig10376.0.g64,Contig10376.0.g64
Contig10377.0.g65,Contig10377.0.g65
Contig10378.0.g59,Contig10378.0.g59
Contig10379.0.g60,Contig10379.0.g60
Contig1038.0.g74,Contig1038.0.g74
Contig1038.1.g120,Contig1038.1.g120
Contig10380.0.g26,Contig10380.0.g26
Contig10381.0.g25,Contig10381.0.g25
Contig10384.0.g21,Contig10384.0.g21
Contig10385.0.g73,Contig10385.0.g73
Contig10386.0.g23,Contig10386.0.g23
Contig10386.0.g24,Contig10386.0.g24
Contig10388.0.g18,Contig10388.0.g18
Contig10389.0.g8,Contig10389.0.g8
Contig1039.0.g75,Contig1039.0.g75
Contig1039.1.g121,Contig1039.1.g121
Contig10390.0.g98,Contig10390.0.g98
Contig10391.0.g64,Contig10391.0.g64
Contig10392.0.g61,Contig10392.0.g61
Contig10393.0.g62,Contig10393.0.g62
Contig10393.0.g63,Contig10393.0.g63
Contig10395.0.g125,Contig10395.0.g125
Contig10396.0.g110,Contig10396.0.g110
Contig10396.0.g111,Contig10396.0.g111
Contig10397.0.0.g113,Contig10397.0.0.g113
Contig10398.0.g57,Contig10398.0.g57
Contig10399.0.g58,Contig10399.0.g58
Contig104.0.g12,Contig104.0.g12
Contig104.1.g86,Contig104.1.g86
Contig104.1.g87,Contig104.1.g87
Contig1040.1.g122,Contig1040.1.g122
Contig10400.0.g78,Contig10400.0.g78
Contig10401.0.g79,Contig10401.0.g79
Contig10402.0.g75,Contig10402.0.g75
Contig10402.0.g76,Contig10402.0.g76
Contig10403.0.g77,Contig10403.0.g77
Contig10404.0.g83,Contig10404.0.g83
Contig10405.0.g84,Contig10405.0.g84
Contig10406.0.g80,Contig10406.0.g80
Contig10406.0.g81,Contig10406.0.g81
Contig10407.0.g82,Contig10407.0.g82
Contig10408.0.g73,Contig10408.0.g73
Contig10409.0.g74,Contig10409.0.g74
Contig1041.0.3.g62,Contig1041.0.3.g62
Contig1041.1.g1,Contig1041.1.g1
Contig10410.0.g47,Contig10410.0.g47
Contig10411.0.0.g45,Contig10411.0.0.g45
Contig10411.0.1.g46,Contig10411.0.1.g46
Contig10412.0.g49,Contig10412.0.g49
Contig10413.0.g48,Contig10413.0.g48
Contig10414.0.g41,Contig10414.0.g41
Contig10415.0.g40,Contig10415.0.g40
Contig10416.0.g43,Contig10416.0.g43
Contig10416.0.g44,Contig10416.0.g44
Contig10417.0.g41,Contig10417.0.g41
Contig10418.0.g55,Contig10418.0.g55
Contig10419.0.g54,Contig10419.0.g54
Contig1042.0.0.g64,Contig1042.0.0.g64
Contig1042.1.g2,Contig1042.1.g2
Contig1042.1.g3,Contig1042.1.g3
Contig1042.1.g4,Contig1042.1.g4
Contig1042.1.g5,Contig1042.1.g5
Contig10420.0.1.g22,Contig10420.0.1.g22
Contig10421.0.g71,Contig10421.0.g71
Contig10422.0.g72,Contig10422.0.g72
Contig10423.0.g73,Contig10423.0.g73
Contig10424.0.g74,Contig10424.0.g74
Contig10425.0.g28,Contig10425.0.g28
Contig10426.0.g77,Contig10426.0.g77
Contig10427.0.g78,Contig10427.0.g78
Contig10429.0.1.g79,Contig10429.0.1.g79
Contig1043.0.g63,Contig1043.0.g63
Contig1043.1.g6,Contig1043.1.g6
Contig10430.0.g65,Contig10430.0.g65
Contig10431.0.g64,Contig10431.0.g64
Contig10432.0.g63,Contig10432.0.g63
Contig10433.0.g61,Contig10433.0.g61
Contig10433.0.g62,Contig10433.0.g62
Contig10434.0.g12,Contig10434.0.g12
Contig10436.0.g66,Contig10436.0.g66
Contig10437.0.g10,Contig10437.0.g10
Contig10438.0.g73,Contig10438.0.g73
Contig10439.0.g72,Contig10439.0.g72
Contig1044.0.g66,Contig1044.0.g66
Contig1044.0.g67,Contig1044.0.g67
Contig1044.1.g7,Contig1044.1.g7
Contig10441.0.g64,Contig10441.0.g64
Contig10442.0.g63,Contig10442.0.g63
Contig10444.0.g61,Contig10444.0.g61
Contig10445.0.g62,Contig10445.0.g62
Contig10446.0.g59,Contig10446.0.g59
Contig10447.0.g60,Contig10447.0.g60
Contig10448.0.g65,Contig10448.0.g65
Contig10449.0.g66,Contig10449.0.g66
Contig1045.0.g65,Contig1045.0.g65
Contig1045.1.g8,Contig1045.1.g8
Contig10450.0.g7,Contig10450.0.g7
Contig10452.0.g9,Contig10452.0.g9
Contig10452.0.g10,Contig10452.0.g10
Contig10453.0.g8,Contig10453.0.g8
Contig10454.0.g12,Contig10454.0.g12
Contig10455.0.g11,Contig10455.0.g11
Contig10456.0.g14,Contig10456.0.g14
Contig10456.0.g15,Contig10456.0.g15
Contig10456.0.g16,Contig10456.0.g16
Contig10456.0.g17,Contig10456.0.g17
Contig10457.0.g13,Contig10457.0.g13
Contig10458.0.g19,Contig10458.0.g19
Contig10459.0.g18,Contig10459.0.g18
Contig1046.0.g69,Contig1046.0.g69
Contig1046.1.g9,Contig1046.1.g9
Contig1046.1.g10,Contig1046.1.g10
Contig1046.1.g11,Contig1046.1.g11
Contig10460.0.g103,Contig10460.0.g103
Contig10461.0.g1,Contig10461.0.g1
Contig10462.0.g2,Contig10462.0.g2
Contig10463.0.g3,Contig10463.0.g3
Contig10464.0.g97,Contig10464.0.g97
Contig10464.0.g98,Contig10464.0.g98
Contig10465.0.g99,Contig10465.0.g99
Contig10465.0.g100,Contig10465.0.g100
Contig10466.0.g101,Contig10466.0.g101
Contig10467.0.g102,Contig10467.0.g102
Contig10468.0.g95,Contig10468.0.g95
Contig10469.0.g96,Contig10469.0.g96
Contig1047.0.g68,Contig1047.0.g68
Contig1047.1.g12,Contig1047.1.g12
Contig10470.0.g34,Contig10470.0.g34
Contig10471.0.g33,Contig10471.0.g33
Contig10472.0.g32,Contig10472.0.g32
Contig10473.0.g31,Contig10473.0.g31
Contig10474.0.g30,Contig10474.0.g30
Contig10475.0.g28,Contig10475.0.g28
Contig10475.0.g29,Contig10475.0.g29
Contig10477.0.g27,Contig10477.0.g27
Contig10478.0.g26,Contig10478.0.g26
Contig10479.0.g25,Contig10479.0.g25
Contig1048.0.g71,Contig1048.0.g71
Contig1048.1.g13,Contig1048.1.g13
Contig1048.1.g14,Contig1048.1.g14
Contig10480.0.g70,Contig10480.0.g70
