primary,oxydb_mac_gene_2012
Contig1.0.g61,Contig1.0.g61
Contig1.1.g64,Contig1.1.g64
Contig1.1.g65,Contig1.1.g65
Contig10.0.g80,Contig10.0.g80
Contig100.1.g80,Contig100.1.g80
Contig1000.0.g55,Contig1000.0.g55
Contig1000.1.g72,Contig1000.1.g72
Contig10000.0.g81,Contig10000.0.g81
Contig10001.0.g109,Contig10001.0.g109
Contig10002.0.g94,Contig10002.0.g94
Contig10003.0.2.g80,Contig10003.0.2.g80
Contig10004.0.g76,Contig10004.0.g76
Contig10005.0.0.g77,Contig10005.0.0.g77
Contig10005.0.1.g78,Contig10005.0.1.g78
Contig10006.0.g72,Contig10006.0.g72
Contig10006.0.g73,Contig10006.0.g73
Contig10006.0.g74,Contig10006.0.g74
Contig10007.0.2.g75,Contig10007.0.2.g75
Contig10008.0.g67,Contig10008.0.g67
Contig10009.0.1.g68,Contig10009.0.1.g68
Contig10009.0.1.g69,Contig10009.0.1.g69
Contig10009.0.1.g70,Contig10009.0.1.g70
Contig10009.0.1.g71,Contig10009.0.1.g71
Contig1001.0.g53,Contig1001.0.g53
Contig1001.0.g54,Contig1001.0.g54
Contig1001.1.g73,Contig1001.1.g73
Contig1001.1.g74,Contig1001.1.g74
Contig10010.0.g60,Contig10010.0.g60
Contig10011.0.g92,Contig10011.0.g92
Contig10012.0.g99,Contig10012.0.g99
Contig10014.0.g101,Contig10014.0.g101
Contig10015.0.g100,Contig10015.0.g100
Contig10016.0.g103,Contig10016.0.g103
Contig10017.0.g102,Contig10017.0.g102
Contig10019.0.g60,Contig10019.0.g60
Contig1002.0.1.g58,Contig1002.0.1.g58
Contig1002.1.g75,Contig1002.1.g75
Contig10020.0.0.g39,Contig10020.0.0.g39
Contig10020.0.1.g40,Contig10020.0.1.g40
Contig10021.0.g41,Contig10021.0.g41
Contig10022.0.g42,Contig10022.0.g42
Contig10023.0.g43,Contig10023.0.g43
Contig10023.0.g44,Contig10023.0.g44
Contig10024.0.g35,Contig10024.0.g35
Contig10025.0.g36,Contig10025.0.g36
Contig10026.0.g37,Contig10026.0.g37
Contig10027.0.g38,Contig10027.0.g38
Contig10028.0.g45,Contig10028.0.g45
Contig10029.0.g46,Contig10029.0.g46
Contig10029.0.g47,Contig10029.0.g47
Contig1003.0.g56,Contig1003.0.g56
Contig1003.0.g57,Contig1003.0.g57
Contig1003.1.g76,Contig1003.1.g76
Contig1003.1.g77,Contig1003.1.g77
Contig10030.0.g73,Contig10030.0.g73
Contig10030.0.g74,Contig10030.0.g74
Contig10032.0.g107,Contig10032.0.g107
Contig10032.0.g108,Contig10032.0.g108
Contig10033.0.g105,Contig10033.0.g105
Contig10033.0.g106,Contig10033.0.g106
Contig10034.0.g103,Contig10034.0.g103
Contig10034.0.g104,Contig10034.0.g104
Contig10036.0.g95,Contig10036.0.g95
Contig10037.0.g91,Contig10037.0.g91
Contig10038.0.g32,Contig10038.0.g32
Contig10039.0.g30,Contig10039.0.g30
Contig10039.0.g31,Contig10039.0.g31
Contig1004.1.g78,Contig1004.1.g78
Contig1004.1.g79,Contig1004.1.g79
Contig1004.1.g80,Contig1004.1.g80
Contig10040.0.0.g46,Contig10040.0.0.g46
Contig10040.0.0.g47,Contig10040.0.0.g47
Contig10041.0.g48,Contig10041.0.g48
Contig10042.0.g43,Contig10042.0.g43
Contig10042.0.g44,Contig10042.0.g44
Contig10043.0.0.g45,Contig10043.0.0.g45
Contig10044.0.g51,Contig10044.0.g51
Contig10045.0.g52,Contig10045.0.g52
Contig10046.0.g49,Contig10046.0.g49
Contig10047.0.g50,Contig10047.0.g50
Contig10048.0.g56,Contig10048.0.g56
Contig10048.0.g57,Contig10048.0.g57
Contig10049.0.g58,Contig10049.0.g58
Contig1005.0.g50,Contig1005.0.g50
Contig1005.1.g81,Contig1005.1.g81
Contig10050.0.g108,Contig10050.0.g108
Contig10051.0.g106,Contig10051.0.g106
Contig10051.0.g107,Contig10051.0.g107
Contig10052.0.g110,Contig10052.0.g110
Contig10052.0.g111,Contig10052.0.g111
Contig10053.0.g109,Contig10053.0.g109
Contig10054.0.1.g101,Contig10054.0.1.g101
Contig10054.0.1.g102,Contig10054.0.1.g102
Contig10054.0.1.g103,Contig10054.0.1.g103
Contig10055.0.g99,Contig10055.0.g99
Contig10055.0.g100,Contig10055.0.g100
Contig10057.0.g20,Contig10057.0.g20
Contig10058.0.g19,Contig10058.0.g19
Contig10059.0.0.g15,Contig10059.0.0.g15
Contig10059.0.0.g16,Contig10059.0.0.g16
Contig10059.0.1.g17,Contig10059.0.1.g17
Contig10059.0.1.g18,Contig10059.0.1.g18
Contig1006.0.g52,Contig1006.0.g52
Contig1006.1.g82,Contig1006.1.g82
Contig10060.0.g51,Contig10060.0.g51
Contig10061.0.g52,Contig10061.0.g52
Contig10061.0.g53,Contig10061.0.g53
Contig10061.0.g54,Contig10061.0.g54
Contig10062.0.g55,Contig10062.0.g55
Contig10063.0.g56,Contig10063.0.g56
Contig10063.0.g57,Contig10063.0.g57
Contig10063.0.g58,Contig10063.0.g58
Contig10064.0.1.g59,Contig10064.0.1.g59
Contig10064.0.1.g60,Contig10064.0.1.g60
Contig10065.0.g61,Contig10065.0.g61
Contig10066.0.0.g62,Contig10066.0.0.g62
Contig10067.0.g63,Contig10067.0.g63
Contig10069.0.g50,Contig10069.0.g50
Contig1007.0.g51,Contig1007.0.g51
Contig1007.1.g83,Contig1007.1.g83
Contig10070.0.1.g98,Contig10070.0.1.g98
Contig10071.0.g97,Contig10071.0.g97
Contig10072.0.g96,Contig10072.0.g96
Contig10073.0.g95,Contig10073.0.g95
Contig10074.0.g102,Contig10074.0.g102
Contig10075.0.g101,Contig10075.0.g101
Contig10076.0.g100,Contig10076.0.g100
Contig10077.0.g99,Contig10077.0.g99
Contig10078.0.g94,Contig10078.0.g94
Contig10079.0.g90,Contig10079.0.g90
Contig10079.0.g91,Contig10079.0.g91
Contig10079.0.g92,Contig10079.0.g92
Contig10079.0.g93,Contig10079.0.g93
Contig1008.0.g49,Contig1008.0.g49
Contig1008.1.g84,Contig1008.1.g84
Contig1008.1.g85,Contig1008.1.g85
Contig10080.0.0.g28,Contig10080.0.0.g28
Contig10081.0.g29,Contig10081.0.g29
Contig10082.0.g25,Contig10082.0.g25
Contig10083.0.1.g26,Contig10083.0.1.g26
Contig10083.0.1.g27,Contig10083.0.1.g27
Contig10084.0.g24,Contig10084.0.g24
Contig1009.0.g48,Contig1009.0.g48
Contig10091.0.g72,Contig10091.0.g72
Contig10093.0.0.g74,Contig10093.0.0.g74
Contig10094.0.g75,Contig10094.0.g75
Contig10096.0.g30,Contig10096.0.g30
Contig10099.0.1.g76,Contig10099.0.1.g76
Contig101.0.g14,Contig101.0.g14
Contig101.1.g81,Contig101.1.g81
Contig101.1.g82,Contig101.1.g82
Contig101.1.g83,Contig101.1.g83
Contig1010.0.g6,Contig1010.0.g6
Contig1010.1.g86,Contig1010.1.g86
Contig10100.0.g14,Contig10100.0.g14
Contig10102.0.g13,Contig10102.0.g13
Contig10105.0.g12,Contig10105.0.g12
Contig10107.0.g11,Contig10107.0.g11
Contig10108.0.g16,Contig10108.0.g16
Contig10109.0.g15,Contig10109.0.g15
Contig1011.1.g87,Contig1011.1.g87
Contig10114.0.1.g12,Contig10114.0.1.g12
Contig10114.0.1.g13,Contig10114.0.1.g13
