primary,oxydb_mac_gene_2020
g15716,g15716
g329,g329
g330,g330
g331,g331
g5441,g5441
g5442,g5442
g5443,g5443
g5415,g5415
g5416,g5416
g5417,g5417
g5450,g5450
g22032,g22032
g22033,g22033
g7170,g7170
g13122,g13122
g17849,g17849
g17845,g17845
g17846,g17846
g47037,g47037
g47038,g47038
g36175,g36175
g352,g352
g40061,g40061
g23699,g23699
g23700,g23700
g37586,g37586
g37587,g37587
g44966,g44966
g44967,g44967
g44968,g44968
g3106,g3106
g3107,g3107
g3108,g3108
g28750,g28750
g47939,g47939
g14938,g14938
g41360,g41360
g41361,g41361
g37246,g37246
g27597,g27597
g44650,g44650
g42488,g42488
g18961,g18961
g16488,g16488
g17639,g17639
g17640,g17640
g17641,g17641
g3746,g3746
g3747,g3747
g3748,g3748
g3739,g3739
g3740,g3740
g45389,g45389
g5232,g5232
g33573,g33573
g33569,g33569
g44748,g44748
g44749,g44749
g40935,g40935
g40936,g40936
g40937,g40937
g9174,g9174
g38951,g38951
g45591,g45591
g45592,g45592
g3669,g3669
g3670,g3670
g31272,g31272
g19365,g19365
g19546,g19546
g19547,g19547
g19548,g19548
g19781,g19781
g19782,g19782
g19783,g19783
g19788,g19788
g19789,g19789
g10974,g10974
g10975,g10975
g45465,g45465
g5167,g5167
g27533,g27533
g33768,g33768
g10347,g10347
g14295,g14295
g14308,g14308
g14309,g14309
g21130,g21130
g21010,g21010
g20204,g20204
g45670,g45670
g45671,g45671
g45672,g45672
g21075,g21075
g21076,g21076
g21077,g21077
g21078,g21078
g47776,g47776
g14995,g14995
g34672,g34672
g22287,g22287
g39455,g39455
g6954,g6954
g19203,g19203
g9245,g9245
g9246,g9246
g18834,g18834
g18835,g18835
g46093,g46093
g42215,g42215
g42216,g42216
g20254,g20254
g45380,g45380
g29463,g29463
g21478,g21478
g21479,g21479
g13634,g13634
g13635,g13635
g21481,g21481
g1771,g1771
g1772,g1772
g1759,g1759
g37014,g37014
g37015,g37015
g24726,g24726
g29816,g29816
g38311,g38311
g42998,g42998
g31527,g31527
g31528,g31528
g31529,g31529
g17896,g17896
g17897,g17897
g17898,g17898
g17879,g17879
g17880,g17880
g38987,g38987
g23899,g23899
g23904,g23904
g14336,g14336
g6073,g6073
g5748,g5748
g663,g663
g12601,g12601
g12602,g12602
g12603,g12603
g45493,g45493
g45494,g45494
g47173,g47173
g24542,g24542
g27440,g27440
g36900,g36900
g27841,g27841
g34779,g34779
g30783,g30783
g14716,g14716
g4759,g4759
g10433,g10433
g10434,g10434
g24118,g24118
g24119,g24119
g8255,g8255
g17518,g17518
g42956,g42956
g10599,g10599
g10600,g10600
g38739,g38739
g34601,g34601
g21436,g21436
g37980,g37980
g37981,g37981
g7102,g7102
g24341,g24341
g41076,g41076
g37363,g37363
g46176,g46176
g43058,g43058
g43059,g43059
g43060,g43060
g32421,g32421
g32422,g32422
g32423,g32423
g36906,g36906
g29743,g29743
g3109,g3109
g3110,g3110
g3111,g3111
g3115,g3115
g3116,g3116
g35945,g35945
g44645,g44645
g3808,g3808
g19123,g19123
g45331,g45331
g10310,g10310
g45842,g45842
g11031,g11031
g27806,g27806
g42144,g42144
g38013,g38013
g1831,g1831
g1822,g1822
