primary,oxydb_mic_2014,mds_ies_db_2015,genbank,genbank.1,number
OXYTRI_MIC_74929,ctg7180000074929,OXYTRI_MIC_74929,ARYC01007104,ARYC01007104.1,74929
OXYTRI_MIC_74930,ctg7180000074930,OXYTRI_MIC_74930,ARYC01007105,ARYC01007105.1,74930
OXYTRI_MIC_74931,ctg7180000074931,OXYTRI_MIC_74931,ARYC01007106,ARYC01007106.1,74931
OXYTRI_MIC_74932,ctg7180000074932,OXYTRI_MIC_74932,ARYC01007107,ARYC01007107.1,74932
OXYTRI_MIC_74933,ctg7180000074933,OXYTRI_MIC_74933,ARYC01007108,ARYC01007108.1,74933
OXYTRI_MIC_74934,ctg7180000074934,OXYTRI_MIC_74934,ARYC01007109,ARYC01007109.1,74934
OXYTRI_MIC_74935,ctg7180000074935,OXYTRI_MIC_74935,ARYC01007110,ARYC01007110.1,74935
OXYTRI_MIC_74936,ctg7180000074936,OXYTRI_MIC_74936,ARYC01007111,ARYC01007111.1,74936
OXYTRI_MIC_74937,ctg7180000074937,OXYTRI_MIC_74937,ARYC01007112,ARYC01007112.1,74937
OXYTRI_MIC_74938,ctg7180000074938,OXYTRI_MIC_74938,ARYC01007113,ARYC01007113.1,74938
OXYTRI_MIC_74939,ctg7180000074939,OXYTRI_MIC_74939,ARYC01007114,ARYC01007114.1,74939
OXYTRI_MIC_74940,ctg7180000074940,OXYTRI_MIC_74940,ARYC01007115,ARYC01007115.1,74940
OXYTRI_MIC_74941,ctg7180000074941,OXYTRI_MIC_74941,ARYC01007116,ARYC01007116.1,74941
OXYTRI_MIC_74942,ctg7180000074942,OXYTRI_MIC_74942,ARYC01007117,ARYC01007117.1,74942
OXYTRI_MIC_74943,ctg7180000074943,OXYTRI_MIC_74943,ARYC01007118,ARYC01007118.1,74943
OXYTRI_MIC_74948,ctg7180000074948,OXYTRI_MIC_74948,ARYC01007119,ARYC01007119.1,74948
OXYTRI_MIC_74957,ctg7180000074957,OXYTRI_MIC_74957,ARYC01007120,ARYC01007120.1,74957
OXYTRI_MIC_74959,ctg7180000074959,OXYTRI_MIC_74959,ARYC01007121,ARYC01007121.1,74959
OXYTRI_MIC_74960,ctg7180000074960,OXYTRI_MIC_74960,ARYC01007122,ARYC01007122.1,74960
OXYTRI_MIC_74962,ctg7180000074962,OXYTRI_MIC_74962,ARYC01007123,ARYC01007123.1,74962
OXYTRI_MIC_74966,ctg7180000074966,OXYTRI_MIC_74966,ARYC01007124,ARYC01007124.1,74966
OXYTRI_MIC_74968,ctg7180000074968,OXYTRI_MIC_74968,ARYC01007125,ARYC01007125.1,74968
OXYTRI_MIC_74969,ctg7180000074969,OXYTRI_MIC_74969,ARYC01007126,ARYC01007126.1,74969
OXYTRI_MIC_74970,ctg7180000074970,OXYTRI_MIC_74970,ARYC01007127,ARYC01007127.1,74970
OXYTRI_MIC_74971,ctg7180000074971,OXYTRI_MIC_74971,ARYC01007128,ARYC01007128.1,74971
OXYTRI_MIC_74972,ctg7180000074972,OXYTRI_MIC_74972,ARYC01007129,ARYC01007129.1,74972
OXYTRI_MIC_74973,ctg7180000074973,OXYTRI_MIC_74973,ARYC01007130,ARYC01007130.1,74973
OXYTRI_MIC_74974,ctg7180000074974,OXYTRI_MIC_74974,ARYC01007131,ARYC01007131.1,74974
OXYTRI_MIC_74975,ctg7180000074975,OXYTRI_MIC_74975,ARYC01007132,ARYC01007132.1,74975
OXYTRI_MIC_74976,ctg7180000074976,OXYTRI_MIC_74976,ARYC01007133,ARYC01007133.1,74976
OXYTRI_MIC_74977,ctg7180000074977,OXYTRI_MIC_74977,ARYC01007134,ARYC01007134.1,74977
OXYTRI_MIC_74978,ctg7180000074978,OXYTRI_MIC_74978,ARYC01007135,ARYC01007135.1,74978
OXYTRI_MIC_74979,ctg7180000074979,OXYTRI_MIC_74979,ARYC01007136,ARYC01007136.1,74979
OXYTRI_MIC_74981,ctg7180000074981,OXYTRI_MIC_74981,ARYC01007137,ARYC01007137.1,74981
OXYTRI_MIC_74982,ctg7180000074982,OXYTRI_MIC_74982,ARYC01007138,ARYC01007138.1,74982
OXYTRI_MIC_74983,ctg7180000074983,OXYTRI_MIC_74983,ARYC01007139,ARYC01007139.1,74983
OXYTRI_MIC_74984,ctg7180000074984,OXYTRI_MIC_74984,ARYC01007140,ARYC01007140.1,74984
OXYTRI_MIC_74985,ctg7180000074985,OXYTRI_MIC_74985,ARYC01007141,ARYC01007141.1,74985
OXYTRI_MIC_74986,ctg7180000074986,OXYTRI_MIC_74986,ARYC01007142,ARYC01007142.1,74986
OXYTRI_MIC_74987,ctg7180000074987,OXYTRI_MIC_74987,ARYC01007143,ARYC01007143.1,74987
OXYTRI_MIC_74988,ctg7180000074988,OXYTRI_MIC_74988,ARYC01007144,ARYC01007144.1,74988
OXYTRI_MIC_74989,ctg7180000074989,OXYTRI_MIC_74989,ARYC01007145,ARYC01007145.1,74989
OXYTRI_MIC_74990,ctg7180000074990,OXYTRI_MIC_74990,ARYC01007146,ARYC01007146.1,74990
OXYTRI_MIC_74991,ctg7180000074991,OXYTRI_MIC_74991,ARYC01007147,ARYC01007147.1,74991
OXYTRI_MIC_74992,ctg7180000074992,OXYTRI_MIC_74992,ARYC01007148,ARYC01007148.1,74992
OXYTRI_MIC_74994,ctg7180000074994,OXYTRI_MIC_74994,ARYC01007149,ARYC01007149.1,74994
OXYTRI_MIC_74995,ctg7180000074995,OXYTRI_MIC_74995,ARYC01007150,ARYC01007150.1,74995
OXYTRI_MIC_74996,ctg7180000074996,OXYTRI_MIC_74996,ARYC01007151,ARYC01007151.1,74996
OXYTRI_MIC_74997,ctg7180000074997,OXYTRI_MIC_74997,ARYC01007152,ARYC01007152.1,74997
OXYTRI_MIC_74998,ctg7180000074998,OXYTRI_MIC_74998,ARYC01007153,ARYC01007153.1,74998
OXYTRI_MIC_74999,ctg7180000074999,OXYTRI_MIC_74999,ARYC01007154,ARYC01007154.1,74999
OXYTRI_MIC_75000,ctg7180000075000,OXYTRI_MIC_75000,ARYC01007155,ARYC01007155.1,75000
OXYTRI_MIC_75001,ctg7180000075001,OXYTRI_MIC_75001,ARYC01007156,ARYC01007156.1,75001
OXYTRI_MIC_75002,ctg7180000075002,OXYTRI_MIC_75002,ARYC01007157,ARYC01007157.1,75002
OXYTRI_MIC_75003,ctg7180000075003,OXYTRI_MIC_75003,ARYC01007158,ARYC01007158.1,75003
OXYTRI_MIC_75004,ctg7180000075004,OXYTRI_MIC_75004,ARYC01007159,ARYC01007159.1,75004
OXYTRI_MIC_75005,ctg7180000075005,OXYTRI_MIC_75005,ARYC01007160,ARYC01007160.1,75005
OXYTRI_MIC_75006,ctg7180000075006,OXYTRI_MIC_75006,ARYC01007161,ARYC01007161.1,75006
OXYTRI_MIC_75007,ctg7180000075007,OXYTRI_MIC_75007,ARYC01007162,ARYC01007162.1,75007
OXYTRI_MIC_75008,ctg7180000075008,OXYTRI_MIC_75008,ARYC01007163,ARYC01007163.1,75008
OXYTRI_MIC_75009,ctg7180000075009,OXYTRI_MIC_75009,ARYC01007164,ARYC01007164.1,75009
OXYTRI_MIC_75010,ctg7180000075010,OXYTRI_MIC_75010,ARYC01007165,ARYC01007165.1,75010
OXYTRI_MIC_75011,ctg7180000075011,OXYTRI_MIC_75011,ARYC01007166,ARYC01007166.1,75011
OXYTRI_MIC_75012,ctg7180000075012,OXYTRI_MIC_75012,ARYC01007167,ARYC01007167.1,75012
OXYTRI_MIC_75013,ctg7180000075013,OXYTRI_MIC_75013,ARYC01007168,ARYC01007168.1,75013
OXYTRI_MIC_75014,ctg7180000075014,OXYTRI_MIC_75014,ARYC01007169,ARYC01007169.1,75014
OXYTRI_MIC_75015,ctg7180000075015,OXYTRI_MIC_75015,ARYC01007170,ARYC01007170.1,75015
OXYTRI_MIC_75016,ctg7180000075016,OXYTRI_MIC_75016,ARYC01007171,ARYC01007171.1,75016
OXYTRI_MIC_75017,ctg7180000075017,OXYTRI_MIC_75017,ARYC01007172,ARYC01007172.1,75017
OXYTRI_MIC_75018,ctg7180000075018,OXYTRI_MIC_75018,ARYC01007173,ARYC01007173.1,75018
OXYTRI_MIC_75019,ctg7180000075019,OXYTRI_MIC_75019,ARYC01007174,ARYC01007174.1,75019
OXYTRI_MIC_75020,ctg7180000075020,OXYTRI_MIC_75020,ARYC01007175,ARYC01007175.1,75020
OXYTRI_MIC_75021,ctg7180000075021,OXYTRI_MIC_75021,ARYC01007176,ARYC01007176.1,75021
OXYTRI_MIC_75022,ctg7180000075022,OXYTRI_MIC_75022,ARYC01007177,ARYC01007177.1,75022
OXYTRI_MIC_75023,ctg7180000075023,OXYTRI_MIC_75023,ARYC01007178,ARYC01007178.1,75023
OXYTRI_MIC_75024,ctg7180000075024,OXYTRI_MIC_75024,ARYC01007179,ARYC01007179.1,75024
OXYTRI_MIC_75025,ctg7180000075025,OXYTRI_MIC_75025,ARYC01007180,ARYC01007180.1,75025
OXYTRI_MIC_75026,ctg7180000075026,OXYTRI_MIC_75026,ARYC01007181,ARYC01007181.1,75026
OXYTRI_MIC_75027,ctg7180000075027,OXYTRI_MIC_75027,ARYC01007182,ARYC01007182.1,75027
OXYTRI_MIC_75028,ctg7180000075028,OXYTRI_MIC_75028,ARYC01007183,ARYC01007183.1,75028
OXYTRI_MIC_75029,ctg7180000075029,OXYTRI_MIC_75029,ARYC01007184,ARYC01007184.1,75029
OXYTRI_MIC_75030,ctg7180000075030,OXYTRI_MIC_75030,ARYC01007185,ARYC01007185.1,75030
OXYTRI_MIC_75031,ctg7180000075031,OXYTRI_MIC_75031,ARYC01007186,ARYC01007186.1,75031
OXYTRI_MIC_75032,ctg7180000075032,OXYTRI_MIC_75032,ARYC01007187,ARYC01007187.1,75032
OXYTRI_MIC_75033,ctg7180000075033,OXYTRI_MIC_75033,ARYC01007188,ARYC01007188.1,75033
OXYTRI_MIC_75034,ctg7180000075034,OXYTRI_MIC_75034,ARYC01007189,ARYC01007189.1,75034
OXYTRI_MIC_75035,ctg7180000075035,OXYTRI_MIC_75035,ARYC01007190,ARYC01007190.1,75035
OXYTRI_MIC_75036,ctg7180000075036,OXYTRI_MIC_75036,ARYC01007191,ARYC01007191.1,75036
OXYTRI_MIC_75037,ctg7180000075037,OXYTRI_MIC_75037,ARYC01007192,ARYC01007192.1,75037
OXYTRI_MIC_75038,ctg7180000075038,OXYTRI_MIC_75038,ARYC01007193,ARYC01007193.1,75038
OXYTRI_MIC_75039,ctg7180000075039,OXYTRI_MIC_75039,ARYC01007194,ARYC01007194.1,75039
OXYTRI_MIC_75040,ctg7180000075040,OXYTRI_MIC_75040,ARYC01007195,ARYC01007195.1,75040
OXYTRI_MIC_75041,ctg7180000075041,OXYTRI_MIC_75041,ARYC01007196,ARYC01007196.1,75041
OXYTRI_MIC_75042,ctg7180000075042,OXYTRI_MIC_75042,ARYC01007197,ARYC01007197.1,75042
OXYTRI_MIC_75043,ctg7180000075043,OXYTRI_MIC_75043,ARYC01007198,ARYC01007198.1,75043
OXYTRI_MIC_75044,ctg7180000075044,OXYTRI_MIC_75044,ARYC01007199,ARYC01007199.1,75044
OXYTRI_MIC_75045,ctg7180000075045,OXYTRI_MIC_75045,ARYC01007200,ARYC01007200.1,75045
OXYTRI_MIC_75046,ctg7180000075046,OXYTRI_MIC_75046,ARYC01007201,ARYC01007201.1,75046
OXYTRI_MIC_75047,ctg7180000075047,OXYTRI_MIC_75047,ARYC01007202,ARYC01007202.1,75047
OXYTRI_MIC_75048,ctg7180000075048,OXYTRI_MIC_75048,ARYC01007203,ARYC01007203.1,75048
OXYTRI_MIC_75049,ctg7180000075049,OXYTRI_MIC_75049,ARYC01007204,ARYC01007204.1,75049
OXYTRI_MIC_75050,ctg7180000075050,OXYTRI_MIC_75050,ARYC01007205,ARYC01007205.1,75050
OXYTRI_MIC_75051,ctg7180000075051,OXYTRI_MIC_75051,ARYC01007206,ARYC01007206.1,75051
OXYTRI_MIC_75052,ctg7180000075052,OXYTRI_MIC_75052,ARYC01007207,ARYC01007207.1,75052
OXYTRI_MIC_75053,ctg7180000075053,OXYTRI_MIC_75053,ARYC01007208,ARYC01007208.1,75053
OXYTRI_MIC_75054,ctg7180000075054,OXYTRI_MIC_75054,ARYC01007209,ARYC01007209.1,75054
OXYTRI_MIC_75055,ctg7180000075055,OXYTRI_MIC_75055,ARYC01007210,ARYC01007210.1,75055
OXYTRI_MIC_75056,ctg7180000075056,OXYTRI_MIC_75056,ARYC01007211,ARYC01007211.1,75056
OXYTRI_MIC_75057,ctg7180000075057,OXYTRI_MIC_75057,ARYC01007212,ARYC01007212.1,75057
OXYTRI_MIC_75058,ctg7180000075058,OXYTRI_MIC_75058,ARYC01007213,ARYC01007213.1,75058
OXYTRI_MIC_75059,ctg7180000075059,OXYTRI_MIC_75059,ARYC01007214,ARYC01007214.1,75059
OXYTRI_MIC_75060,ctg7180000075060,OXYTRI_MIC_75060,ARYC01007215,ARYC01007215.1,75060
OXYTRI_MIC_75061,ctg7180000075061,OXYTRI_MIC_75061,ARYC01007216,ARYC01007216.1,75061
OXYTRI_MIC_75062,ctg7180000075062,OXYTRI_MIC_75062,ARYC01007217,ARYC01007217.1,75062
OXYTRI_MIC_75063,ctg7180000075063,OXYTRI_MIC_75063,ARYC01007218,ARYC01007218.1,75063
OXYTRI_MIC_75064,ctg7180000075064,OXYTRI_MIC_75064,ARYC01007219,ARYC01007219.1,75064
OXYTRI_MIC_75065,ctg7180000075065,OXYTRI_MIC_75065,ARYC01007220,ARYC01007220.1,75065
OXYTRI_MIC_75066,ctg7180000075066,OXYTRI_MIC_75066,ARYC01007221,ARYC01007221.1,75066
OXYTRI_MIC_75067,ctg7180000075067,OXYTRI_MIC_75067,ARYC01007222,ARYC01007222.1,75067
OXYTRI_MIC_75068,ctg7180000075068,OXYTRI_MIC_75068,ARYC01007223,ARYC01007223.1,75068
OXYTRI_MIC_75070,ctg7180000075070,OXYTRI_MIC_75070,ARYC01007224,ARYC01007224.1,75070
OXYTRI_MIC_75071,ctg7180000075071,OXYTRI_MIC_75071,ARYC01007225,ARYC01007225.1,75071
OXYTRI_MIC_75072,ctg7180000075072,OXYTRI_MIC_75072,ARYC01007226,ARYC01007226.1,75072
OXYTRI_MIC_75073,ctg7180000075073,OXYTRI_MIC_75073,ARYC01007227,ARYC01007227.1,75073
OXYTRI_MIC_75074,ctg7180000075074,OXYTRI_MIC_75074,ARYC01007228,ARYC01007228.1,75074
OXYTRI_MIC_75075,ctg7180000075075,OXYTRI_MIC_75075,ARYC01007229,ARYC01007229.1,75075
OXYTRI_MIC_75076,ctg7180000075076,OXYTRI_MIC_75076,ARYC01007230,ARYC01007230.1,75076
OXYTRI_MIC_75077,ctg7180000075077,OXYTRI_MIC_75077,ARYC01007231,ARYC01007231.1,75077
OXYTRI_MIC_75078,ctg7180000075078,OXYTRI_MIC_75078,ARYC01007232,ARYC01007232.1,75078
OXYTRI_MIC_75079,ctg7180000075079,OXYTRI_MIC_75079,ARYC01007233,ARYC01007233.1,75079
OXYTRI_MIC_75080,ctg7180000075080,OXYTRI_MIC_75080,ARYC01007234,ARYC01007234.1,75080
OXYTRI_MIC_75081,ctg7180000075081,OXYTRI_MIC_75081,ARYC01007235,ARYC01007235.1,75081
OXYTRI_MIC_75082,ctg7180000075082,OXYTRI_MIC_75082,ARYC01007236,ARYC01007236.1,75082
OXYTRI_MIC_75085,ctg7180000075085,OXYTRI_MIC_75085,ARYC01007237,ARYC01007237.1,75085
OXYTRI_MIC_75086,ctg7180000075086,OXYTRI_MIC_75086,ARYC01007238,ARYC01007238.1,75086
OXYTRI_MIC_75088,ctg7180000075088,OXYTRI_MIC_75088,ARYC01007239,ARYC01007239.1,75088
OXYTRI_MIC_75089,ctg7180000075089,OXYTRI_MIC_75089,ARYC01007240,ARYC01007240.1,75089
OXYTRI_MIC_75090,ctg7180000075090,OXYTRI_MIC_75090,ARYC01007241,ARYC01007241.1,75090
OXYTRI_MIC_75091,ctg7180000075091,OXYTRI_MIC_75091,ARYC01007242,ARYC01007242.1,75091
OXYTRI_MIC_75092,ctg7180000075092,OXYTRI_MIC_75092,ARYC01007243,ARYC01007243.1,75092
OXYTRI_MIC_75093,ctg7180000075093,OXYTRI_MIC_75093,ARYC01007244,ARYC01007244.1,75093
OXYTRI_MIC_75094,ctg7180000075094,OXYTRI_MIC_75094,ARYC01007245,ARYC01007245.1,75094
OXYTRI_MIC_75095,ctg7180000075095,OXYTRI_MIC_75095,ARYC01007246,ARYC01007246.1,75095
OXYTRI_MIC_75096,ctg7180000075096,OXYTRI_MIC_75096,ARYC01007247,ARYC01007247.1,75096
OXYTRI_MIC_75097,ctg7180000075097,OXYTRI_MIC_75097,ARYC01007248,ARYC01007248.1,75097
OXYTRI_MIC_75098,ctg7180000075098,OXYTRI_MIC_75098,ARYC01007249,ARYC01007249.1,75098
OXYTRI_MIC_75099,ctg7180000075099,OXYTRI_MIC_75099,ARYC01007250,ARYC01007250.1,75099
OXYTRI_MIC_75100,ctg7180000075100,OXYTRI_MIC_75100,ARYC01007251,ARYC01007251.1,75100
OXYTRI_MIC_75101,ctg7180000075101,OXYTRI_MIC_75101,ARYC01007252,ARYC01007252.1,75101
OXYTRI_MIC_75102,ctg7180000075102,OXYTRI_MIC_75102,ARYC01007253,ARYC01007253.1,75102
OXYTRI_MIC_75103,ctg7180000075103,OXYTRI_MIC_75103,ARYC01007254,ARYC01007254.1,75103
OXYTRI_MIC_75104,ctg7180000075104,OXYTRI_MIC_75104,ARYC01007255,ARYC01007255.1,75104
OXYTRI_MIC_75105,ctg7180000075105,OXYTRI_MIC_75105,ARYC01007256,ARYC01007256.1,75105
OXYTRI_MIC_75106,ctg7180000075106,OXYTRI_MIC_75106,ARYC01007257,ARYC01007257.1,75106
OXYTRI_MIC_75107,ctg7180000075107,OXYTRI_MIC_75107,ARYC01007258,ARYC01007258.1,75107
OXYTRI_MIC_75108,ctg7180000075108,OXYTRI_MIC_75108,ARYC01007259,ARYC01007259.1,75108
OXYTRI_MIC_75109,ctg7180000075109,OXYTRI_MIC_75109,ARYC01007260,ARYC01007260.1,75109
OXYTRI_MIC_75110,ctg7180000075110,OXYTRI_MIC_75110,ARYC01007261,ARYC01007261.1,75110
OXYTRI_MIC_75111,ctg7180000075111,OXYTRI_MIC_75111,ARYC01007262,ARYC01007262.1,75111
OXYTRI_MIC_75112,ctg7180000075112,OXYTRI_MIC_75112,ARYC01007263,ARYC01007263.1,75112
OXYTRI_MIC_75113,ctg7180000075113,OXYTRI_MIC_75113,ARYC01007264,ARYC01007264.1,75113
OXYTRI_MIC_75114,ctg7180000075114,OXYTRI_MIC_75114,ARYC01007265,ARYC01007265.1,75114
OXYTRI_MIC_75115,ctg7180000075115,OXYTRI_MIC_75115,ARYC01007266,ARYC01007266.1,75115
OXYTRI_MIC_75116,ctg7180000075116,OXYTRI_MIC_75116,ARYC01007267,ARYC01007267.1,75116
OXYTRI_MIC_75117,ctg7180000075117,OXYTRI_MIC_75117,ARYC01007268,ARYC01007268.1,75117
OXYTRI_MIC_75118,ctg7180000075118,OXYTRI_MIC_75118,ARYC01007269,ARYC01007269.1,75118
OXYTRI_MIC_75119,ctg7180000075119,OXYTRI_MIC_75119,ARYC01007270,ARYC01007270.1,75119
OXYTRI_MIC_75120,ctg7180000075120,OXYTRI_MIC_75120,ARYC01007271,ARYC01007271.1,75120
OXYTRI_MIC_75121,ctg7180000075121,OXYTRI_MIC_75121,ARYC01007272,ARYC01007272.1,75121
OXYTRI_MIC_75122,ctg7180000075122,OXYTRI_MIC_75122,ARYC01007273,ARYC01007273.1,75122
OXYTRI_MIC_75123,ctg7180000075123,OXYTRI_MIC_75123,ARYC01007274,ARYC01007274.1,75123
OXYTRI_MIC_75124,ctg7180000075124,OXYTRI_MIC_75124,ARYC01007275,ARYC01007275.1,75124
OXYTRI_MIC_75125,ctg7180000075125,OXYTRI_MIC_75125,ARYC01007276,ARYC01007276.1,75125
OXYTRI_MIC_75126,ctg7180000075126,OXYTRI_MIC_75126,ARYC01007277,ARYC01007277.1,75126
OXYTRI_MIC_75127,ctg7180000075127,OXYTRI_MIC_75127,ARYC01007278,ARYC01007278.1,75127
OXYTRI_MIC_75128,ctg7180000075128,OXYTRI_MIC_75128,ARYC01007279,ARYC01007279.1,75128
OXYTRI_MIC_75129,ctg7180000075129,OXYTRI_MIC_75129,ARYC01007280,ARYC01007280.1,75129
OXYTRI_MIC_75130,ctg7180000075130,OXYTRI_MIC_75130,ARYC01007281,ARYC01007281.1,75130
OXYTRI_MIC_75131,ctg7180000075131,OXYTRI_MIC_75131,ARYC01007282,ARYC01007282.1,75131
OXYTRI_MIC_75132,ctg7180000075132,OXYTRI_MIC_75132,ARYC01007283,ARYC01007283.1,75132
OXYTRI_MIC_75133,ctg7180000075133,OXYTRI_MIC_75133,ARYC01007284,ARYC01007284.1,75133
OXYTRI_MIC_75134,ctg7180000075134,OXYTRI_MIC_75134,ARYC01007285,ARYC01007285.1,75134
OXYTRI_MIC_75135,ctg7180000075135,OXYTRI_MIC_75135,ARYC01007286,ARYC01007286.1,75135
OXYTRI_MIC_75139,ctg7180000075139,OXYTRI_MIC_75139,ARYC01007287,ARYC01007287.1,75139
OXYTRI_MIC_75140,ctg7180000075140,OXYTRI_MIC_75140,ARYC01007288,ARYC01007288.1,75140
OXYTRI_MIC_75141,ctg7180000075141,OXYTRI_MIC_75141,ARYC01007289,ARYC01007289.1,75141
OXYTRI_MIC_75142,ctg7180000075142,OXYTRI_MIC_75142,ARYC01007290,ARYC01007290.1,75142
OXYTRI_MIC_75143,ctg7180000075143,OXYTRI_MIC_75143,ARYC01007291,ARYC01007291.1,75143
OXYTRI_MIC_75144,ctg7180000075144,OXYTRI_MIC_75144,ARYC01007292,ARYC01007292.1,75144
OXYTRI_MIC_75145,ctg7180000075145,OXYTRI_MIC_75145,ARYC01007293,ARYC01007293.1,75145
OXYTRI_MIC_75146,ctg7180000075146,OXYTRI_MIC_75146,ARYC01007294,ARYC01007294.1,75146
OXYTRI_MIC_75147,ctg7180000075147,OXYTRI_MIC_75147,ARYC01007295,ARYC01007295.1,75147
OXYTRI_MIC_75148,ctg7180000075148,OXYTRI_MIC_75148,ARYC01007296,ARYC01007296.1,75148
OXYTRI_MIC_75149,ctg7180000075149,OXYTRI_MIC_75149,ARYC01007297,ARYC01007297.1,75149
OXYTRI_MIC_75150,ctg7180000075150,OXYTRI_MIC_75150,ARYC01007298,ARYC01007298.1,75150
OXYTRI_MIC_75151,ctg7180000075151,OXYTRI_MIC_75151,ARYC01007299,ARYC01007299.1,75151
OXYTRI_MIC_75152,ctg7180000075152,OXYTRI_MIC_75152,ARYC01007300,ARYC01007300.1,75152
OXYTRI_MIC_75153,ctg7180000075153,OXYTRI_MIC_75153,ARYC01007301,ARYC01007301.1,75153
OXYTRI_MIC_75154,ctg7180000075154,OXYTRI_MIC_75154,ARYC01007302,ARYC01007302.1,75154
OXYTRI_MIC_75155,ctg7180000075155,OXYTRI_MIC_75155,ARYC01007303,ARYC01007303.1,75155
OXYTRI_MIC_75156,ctg7180000075156,OXYTRI_MIC_75156,ARYC01007304,ARYC01007304.1,75156
OXYTRI_MIC_75157,ctg7180000075157,OXYTRI_MIC_75157,ARYC01007305,ARYC01007305.1,75157
OXYTRI_MIC_75158,ctg7180000075158,OXYTRI_MIC_75158,ARYC01007306,ARYC01007306.1,75158
OXYTRI_MIC_75160,ctg7180000075160,OXYTRI_MIC_75160,ARYC01007307,ARYC01007307.1,75160
OXYTRI_MIC_75161,ctg7180000075161,OXYTRI_MIC_75161,ARYC01007308,ARYC01007308.1,75161
OXYTRI_MIC_75162,ctg7180000075162,OXYTRI_MIC_75162,ARYC01007309,ARYC01007309.1,75162
OXYTRI_MIC_75163,ctg7180000075163,OXYTRI_MIC_75163,ARYC01007310,ARYC01007310.1,75163
OXYTRI_MIC_75165,ctg7180000075165,OXYTRI_MIC_75165,ARYC01007311,ARYC01007311.1,75165
OXYTRI_MIC_75166,ctg7180000075166,OXYTRI_MIC_75166,ARYC01007312,ARYC01007312.1,75166
OXYTRI_MIC_75167,ctg7180000075167,OXYTRI_MIC_75167,ARYC01007313,ARYC01007313.1,75167
OXYTRI_MIC_75168,ctg7180000075168,OXYTRI_MIC_75168,ARYC01007314,ARYC01007314.1,75168
OXYTRI_MIC_75169,ctg7180000075169,OXYTRI_MIC_75169,ARYC01007315,ARYC01007315.1,75169
OXYTRI_MIC_75170,ctg7180000075170,OXYTRI_MIC_75170,ARYC01007316,ARYC01007316.1,75170
OXYTRI_MIC_75171,ctg7180000075171,OXYTRI_MIC_75171,ARYC01007317,ARYC01007317.1,75171
OXYTRI_MIC_75173,ctg7180000075173,OXYTRI_MIC_75173,ARYC01007318,ARYC01007318.1,75173
OXYTRI_MIC_75174,ctg7180000075174,OXYTRI_MIC_75174,ARYC01007319,ARYC01007319.1,75174
OXYTRI_MIC_75175,ctg7180000075175,OXYTRI_MIC_75175,ARYC01007320,ARYC01007320.1,75175
OXYTRI_MIC_75176,ctg7180000075176,OXYTRI_MIC_75176,ARYC01007321,ARYC01007321.1,75176
OXYTRI_MIC_75177,ctg7180000075177,OXYTRI_MIC_75177,ARYC01007322,ARYC01007322.1,75177
OXYTRI_MIC_75178,ctg7180000075178,OXYTRI_MIC_75178,ARYC01007323,ARYC01007323.1,75178
OXYTRI_MIC_75179,ctg7180000075179,OXYTRI_MIC_75179,ARYC01007324,ARYC01007324.1,75179
OXYTRI_MIC_75180,ctg7180000075180,OXYTRI_MIC_75180,ARYC01007325,ARYC01007325.1,75180
OXYTRI_MIC_75181,ctg7180000075181,OXYTRI_MIC_75181,ARYC01007326,ARYC01007326.1,75181
OXYTRI_MIC_75182,ctg7180000075182,OXYTRI_MIC_75182,ARYC01007327,ARYC01007327.1,75182
OXYTRI_MIC_75183,ctg7180000075183,OXYTRI_MIC_75183,ARYC01007328,ARYC01007328.1,75183
OXYTRI_MIC_75184,ctg7180000075184,OXYTRI_MIC_75184,ARYC01007329,ARYC01007329.1,75184
OXYTRI_MIC_75186,ctg7180000075186,OXYTRI_MIC_75186,ARYC01007330,ARYC01007330.1,75186
OXYTRI_MIC_75187,ctg7180000075187,OXYTRI_MIC_75187,ARYC01007331,ARYC01007331.1,75187
OXYTRI_MIC_75188,ctg7180000075188,OXYTRI_MIC_75188,ARYC01007332,ARYC01007332.1,75188
OXYTRI_MIC_75189,ctg7180000075189,OXYTRI_MIC_75189,ARYC01007333,ARYC01007333.1,75189
OXYTRI_MIC_75190,ctg7180000075190,OXYTRI_MIC_75190,ARYC01007334,ARYC01007334.1,75190
OXYTRI_MIC_75191,ctg7180000075191,OXYTRI_MIC_75191,ARYC01007335,ARYC01007335.1,75191
OXYTRI_MIC_75192,ctg7180000075192,OXYTRI_MIC_75192,ARYC01007336,ARYC01007336.1,75192
OXYTRI_MIC_75193,ctg7180000075193,OXYTRI_MIC_75193,ARYC01007337,ARYC01007337.1,75193
OXYTRI_MIC_75194,ctg7180000075194,OXYTRI_MIC_75194,ARYC01007338,ARYC01007338.1,75194
OXYTRI_MIC_75195,ctg7180000075195,OXYTRI_MIC_75195,ARYC01007339,ARYC01007339.1,75195
OXYTRI_MIC_75196,ctg7180000075196,OXYTRI_MIC_75196,ARYC01007340,ARYC01007340.1,75196
OXYTRI_MIC_75197,ctg7180000075197,OXYTRI_MIC_75197,ARYC01007341,ARYC01007341.1,75197
OXYTRI_MIC_75198,ctg7180000075198,OXYTRI_MIC_75198,ARYC01007342,ARYC01007342.1,75198
OXYTRI_MIC_75200,ctg7180000075200,OXYTRI_MIC_75200,ARYC01007343,ARYC01007343.1,75200
