primary,oxydb_mic_2014,mds_ies_db_2015,genbank,genbank.1,number
OXYTRI_MIC_67177,ctg7180000067177,OXYTRI_MIC_67177,ARYC01000055,ARYC01000055.1,67177
OXYTRI_MIC_67180,ctg7180000067180,OXYTRI_MIC_67180,ARYC01000056,ARYC01000056.1,67180
OXYTRI_MIC_67181,ctg7180000067181,OXYTRI_MIC_67181,ARYC01000057,ARYC01000057.1,67181
OXYTRI_MIC_67183,ctg7180000067183,OXYTRI_MIC_67183,ARYC01000058,ARYC01000058.1,67183
OXYTRI_MIC_67185,ctg7180000067185,OXYTRI_MIC_67185,ARYC01000059,ARYC01000059.1,67185
OXYTRI_MIC_67186,ctg7180000067186,OXYTRI_MIC_67186,ARYC01000060,ARYC01000060.1,67186
OXYTRI_MIC_67187,ctg7180000067187,OXYTRI_MIC_67187,ARYC01000061,ARYC01000061.1,67187
OXYTRI_MIC_67188,ctg7180000067188,OXYTRI_MIC_67188,ARYC01000062,ARYC01000062.1,67188
OXYTRI_MIC_67189,ctg7180000067189,OXYTRI_MIC_67189,ARYC01000063,ARYC01000063.1,67189
OXYTRI_MIC_67190,ctg7180000067190,OXYTRI_MIC_67190,ARYC01000064,ARYC01000064.1,67190
OXYTRI_MIC_67191,ctg7180000067191,OXYTRI_MIC_67191,ARYC01000065,ARYC01000065.1,67191
OXYTRI_MIC_67192,ctg7180000067192,OXYTRI_MIC_67192,ARYC01000066,ARYC01000066.1,67192
OXYTRI_MIC_67193,ctg7180000067193,OXYTRI_MIC_67193,ARYC01000067,ARYC01000067.1,67193
OXYTRI_MIC_67194,ctg7180000067194,OXYTRI_MIC_67194,ARYC01000068,ARYC01000068.1,67194
OXYTRI_MIC_67195,ctg7180000067195,OXYTRI_MIC_67195,ARYC01000069,ARYC01000069.1,67195
OXYTRI_MIC_67196,ctg7180000067196,OXYTRI_MIC_67196,ARYC01000070,ARYC01000070.1,67196
OXYTRI_MIC_67197,ctg7180000067197,OXYTRI_MIC_67197,ARYC01000071,ARYC01000071.1,67197
OXYTRI_MIC_67199,ctg7180000067199,OXYTRI_MIC_67199,ARYC01000072,ARYC01000072.1,67199
OXYTRI_MIC_67200,ctg7180000067200,OXYTRI_MIC_67200,ARYC01000073,ARYC01000073.1,67200
OXYTRI_MIC_67204,ctg7180000067204,OXYTRI_MIC_67204,ARYC01000074,ARYC01000074.1,67204
